HIMACHAL FUTURISTIC COMMUNICATIONS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Sep-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (1.37), 456.30 , 21.98 , (3.14), 84.25 , 100.91 , 119.06 , (79.94), 137.64 , 182.85 
Cash from Investing Activity, (27.55), (750.51), (21.32), 67.04 , (33.81), (104.94), (44.38), 99.58 , (37.84), (15.33)
Cash from Financing Activity, 25.71 , 391.18 , (47.34), (83.35), (67.03), (28.36), (60.99), (34.05), (103.24), (120.73)
Net Cash Flow, (3.21), 96.97 , (46.68), (19.45), (16.59), (32.39), 13.69 , (14.41), (3.44), 46.79 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
