HOUSING & URBAN DEVELOPMENT CORPORATION LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 238.81 ," 2,924.59 ", (414.26), (896.21)," 1,988.07 "," (3,663.16)", (182.31)," (4,967.83)"," (2,598.12)"," (7,829.02)"
Cash from Investing Activity, 10.11 , 517.48 , 206.04 , 71.20 , 531.60 , (80.25), (12.61), 381.43 , (4.42), (3.59)
Cash from Financing Activity, 20.36 ," (3,706.62)", 179.69 ," 2,875.65 "," (2,181.93)"," 3,375.30 ", 204.36 ," 4,645.94 "," 2,509.33 "," 7,856.99 "
Net Cash Flow, 269.28 , (264.55), (28.53)," 2,050.64 ", 337.74 , (368.11), 9.44 , 59.54 , (93.21), 24.38 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
