H.G. INFRA ENGINEERING LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , -   , -   , 18.02 , 65.17 
Reserves, -   , -   , -   , -   , -   , -   , -   , -   , 158.12 , 475.69 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , 203.66 , 408.41 
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , -   , 192.81 , 535.76 
Total, -   , -   , -   , -   , -   , -   , -   , -   , 572.61 ," 1,485.03 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , -   , 204.38 , 411.90 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , 0.69 , 8.57 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, -   , -   , -   , -   , -   , -   , -   , -   , 367.54 ," 1,064.56 "
Total, -   , -   , -   , -   , -   , -   , -   , -   , 572.61 ," 1,485.03 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   , -   , 174.73 , 528.80 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , 180.92 , 429.43 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , 49.20 , 106.75 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , 62.53 , 112.54 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , 21.46 , 13.05 
,,,,,,,,,,
Return on Equity,,,,,,,,,30%,16%
Return on Capital Emp,,,,,,,,,54%,24%
,,,,,,,,,,
