HB STOCKHOLDINGS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 24.56 , 9.30 , 7.90 , 12.15 , 18.87 , 14.61 , 8.13 , 3.84 , 15.18 , 2.03 , (19.77), 1.28 , 19.16 
Expenses, 23.57 , 2.86 , 2.99 , 3.83 , 7.70 , 2.87 , 2.67 , 2.76 , 3.13 , 1.92 , 1.50 , 0.47 , 19.16 
Operating Profit, 0.99 , 6.44 , 4.91 , 8.32 , 11.17 , 11.74 , 5.46 , 1.08 , 12.05 , 0.11 , (21.27), 0.80 , -   
Other Income, -   , 12.55 , -   , 1.42 , -   , (0.24), -   , -   , -   , -   , -   , -   , -   
Depreciation, 0.13 , 0.12 , 0.12 , 0.12 , 0.08 , 0.09 , 0.22 , 0.07 , 0.06 , 0.15 , 0.20 , 0.20 , 0.20 
Interest, 4.08 , 1.18 , 1.17 , 0.44 , -   , 0.16 , 0.19 , -   , -   , 0.04 , 0.06 , 0.06 , 0.06 
Profit before tax, (3.22), 17.69 , 3.62 , 9.18 , 11.10 , 11.26 , 5.05 , 1.01 , 11.99 , (0.08), (21.53), 0.54 , (0.26)
Tax, 0.09 , 2.90 , 0.59 , (0.05), 1.10 , 1.26 , 0.05 , 0.12 , 1.37 , 0.42 , (1.84),0%,0%
Net profit, (3.31), 14.79 , 3.03 , 9.23 , 10.00 , 9.99 , 5.00 , 0.89 , 10.62 , (0.50), (19.67), 0.54 , (0.26)
EPS, (1.30), 5.81 , 1.19 , 3.63 , 3.93 , 3.93 , 1.97 , 0.35 , 4.17 , (0.57), (27.55), 0.76 , (0.36)
Price to earning, (3.42), 1.75 , 4.69 , 1.03 , 0.78 , 0.92 , 1.93 , 7.47 , 1.47 ,  , -   , 4.47 , -   
Price, 4.45 , 10.17 , 5.58 , 3.75 , 3.05 , 3.61 , 3.79 , 2.61 , 6.14 , -   , 7.55 , 3.41 , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,24.30%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,4.03%,69.25%,62.15%,68.48%,59.19%,80.36%,67.16%,28.13%,79.38%,5.42%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-24.20%,-17.64%,-35.98%,-37.03%,-86.63%,-37.03%,-86.63%
,,,,,,OPM,53.42%,66.74%,69.51%,62.90%,0.00%,62.90%,0.00%
,,,,,,Price to Earning, 2.50 , 2.27 , 2.95 , 4.47 , -   , 4.47 , -   
