HBL POWER SYSTEMS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 1,241.67 "," 1,106.74 ", 993.08 ," 1,087.59 "," 1,196.15 "," 1,276.80 "," 1,329.05 "," 1,288.40 "," 1,407.22 "," 1,592.92 "," 1,359.01 "," 1,803.13 "," 1,631.06 "
Expenses," 1,069.08 ", 926.82 , 935.56 , 953.16 ," 1,056.43 "," 1,184.57 "," 1,185.53 "," 1,162.46 "," 1,282.71 "," 1,469.74 "," 1,268.48 "," 1,646.03 "," 1,522.41 "
Operating Profit, 172.59 , 179.92 , 57.52 , 134.43 , 139.72 , 92.23 , 143.52 , 125.94 , 124.51 , 123.18 , 90.53 , 157.09 , 108.65 
Other Income, 3.74 , 6.47 , 27.59 , 10.28 , 18.19 , 73.05 , 3.10 , 12.77 , 19.17 , 15.19 , 26.38 , -   , -   
Depreciation, 27.83 , 28.04 , 31.33 , 34.36 , 40.09 , 38.51 , 51.04 , 50.35 , 48.18 , 46.03 , 45.72 , 45.72 , 45.72 
Interest, 38.83 , 38.31 , 49.34 , 89.81 , 93.40 , 75.74 , 70.66 , 68.36 , 46.22 , 40.55 , 32.50 , 32.50 , 32.50 
Profit before tax, 136.77 , 143.89 , 5.12 , 21.70 , 25.33 , 52.10 , 25.31 , 20.19 , 50.07 , 52.24 , 38.69 , 78.87 , 30.43 
Tax, 45.81 , 43.47 , (11.33), 12.10 , 4.89 , 7.09 , 10.70 , 12.38 , 16.21 , 22.58 , 16.04 ,41%,41%
Net profit, 90.96 , 100.42 , 16.45 , 9.60 , 20.44 , 45.01 , 14.62 , 7.81 , 33.86 , 29.66 , 22.65 , 46.17 , 17.82 
EPS, 3.75 , 3.97 , 0.65 , 0.38 , 0.81 , 1.78 , 0.58 , 0.31 , 1.22 , 1.07 , 0.82 , 1.67 , 0.64 
Price to earning, 3.44 , 9.53 , 31.83 , 41.33 , 11.90 , 7.18 , 98.02 , 119.25 , 38.32 , 46.09 , 32.43 , 59.02 , 32.43 
Price, 12.89 , 37.83 , 20.69 , 15.68 , 9.61 , 12.78 , 56.64 , 36.81 , 46.80 , 49.31 , 26.50 , 98.32 , 20.84 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,8.00%,7.56%,15.38%,39.48%,18.54%,11.24%,34.61%,81.05%,20.47%,23.36%,,,
OPM,13.90%,16.26%,5.79%,12.36%,11.68%,7.22%,10.80%,9.77%,8.85%,7.73%,6.66%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,2.81%,6.98%,5.90%,6.22%,13.20%,13.20%,2.81%
,,,,,,OPM,10.33%,9.63%,8.84%,8.71%,6.66%,8.71%,6.66%
,,,,,,Price to Earning, 39.94 , 49.32 , 56.88 , 59.02 , 32.43 , 59.02 , 32.43 
