HDFC ASSET MANAGEMENT COMPANY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , -   , 742.02 , 454.86 , 620.15 
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , -   , (297.07), (176.03), (634.77)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , -   , (446.55), (278.53), 15.41 
Net Cash Flow, -   , -   , -   , -   , -   , -   , -   , (1.60), 0.29 , 0.79 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
