HDFC BANK LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 425.38 , 457.74 , 465.23 , 469.34 , 475.88 , 479.81 , 501.30 , 505.64 , 512.51 , 519.02 
Reserves," 14,220.95 "," 21,061.84 "," 24,911.13 "," 29,455.04 "," 35,738.26 "," 42,998.82 "," 61,508.12 "," 72,172.13 "," 88,949.84 "," 1,05,775.98 "
Borrowings," 1,51,975.22 "," 1,80,320.13 "," 2,22,980.47 "," 2,70,552.95 "," 3,29,253.58 "," 4,06,776.47 "," 4,96,009.20 "," 6,31,393.17 "," 7,17,668.53 "," 9,11,875.61 "
Other Liabilities," 16,737.12 "," 20,717.18 "," 29,071.95 "," 37,494.18 "," 34,922.13 "," 41,402.97 "," 32,557.39 "," 36,818.98 "," 56,830.79 "," 45,817.45 "
Total," 1,83,358.67 "," 2,22,556.89 "," 2,77,428.78 "," 3,37,971.51 "," 4,00,389.85 "," 4,91,658.07 "," 5,90,576.01 "," 7,40,889.92 "," 8,63,961.67 "," 10,63,988.06 "
,,,,,,,,,,
Net Block," 1,706.73 "," 2,122.81 "," 2,170.65 "," 2,347.19 "," 2,703.08 "," 2,939.92 "," 3,121.73 "," 3,343.16 "," 3,626.74 "," 3,607.20 "
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments," 58,817.55 "," 58,607.62 "," 70,929.36 "," 97,482.91 "," 1,11,613.60 "," 1,20,951.07 "," 1,51,641.75 "," 1,95,836.28 "," 2,14,463.34 "," 2,42,200.24 "
Other Assets," 1,22,834.39 "," 1,61,826.46 "," 2,04,328.77 "," 2,38,141.41 "," 2,86,073.17 "," 3,67,767.08 "," 4,35,812.53 "," 5,41,710.48 "," 6,45,871.59 "," 8,18,180.62 "
Total," 1,83,358.67 "," 2,22,556.89 "," 2,77,428.78 "," 3,37,971.51 "," 4,00,389.85 "," 4,91,658.07 "," 5,90,576.01 "," 7,40,889.92 "," 8,63,961.67 "," 10,63,988.06 "
,,,,,,,,,,
Working Capital," 1,06,097.27 "," 1,41,109.28 "," 1,75,256.82 "," 2,00,647.23 "," 2,51,151.04 "," 3,26,364.11 "," 4,03,255.14 "," 5,04,891.50 "," 5,89,040.80 "," 7,72,363.17 "
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,15%,14%,15%,17%,19%,20%,16%,17%,16%,16%
Return on Capital Emp,,7%,7%,8%,9%,9%,8%,8%,8%,7%
,,,,,,,,,,
