HDFC BANK LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity," (1,736.14)"," 9,389.89 ", (375.83)," (17,095.45)"," (1,868.78)"," 8,363.60 "," (15,862.27)"," (30,132.19)"," 23,585.40 "," 26,074.07 "
Cash from Investing Activity," 1,499.76 ", (553.02)," (1,125.73)", (661.68), (854.62)," (1,623.11)"," (1,933.36)", (627.46)," (1,984.51)", (522.51)
Cash from Financing Activity," 2,964.66 "," 3,598.91 "," 1,227.99 "," 9,026.03 "," 9,065.84 "," 5,562.98 "," 14,543.44 "," 33,347.04 "," (11,567.63)"," 48,411.43 "
Net Cash Flow," 2,728.28 "," 12,435.78 ", (273.57)," (8,731.10)"," 6,342.44 "," 12,303.47 "," (3,252.19)"," 2,587.39 "," 10,033.26 "," 73,962.99 "
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
