HDFC LIFE INSURANCE COMPANY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   ," 14,059.84 "," 17,163.56 "," 27,212.64 "," 18,138.17 "," 30,642.36 "," 32,245.86 "," 38,359.89 "," 38,359.89 "," 34,478.41 "
Expenses, -   , -   , -   , -   ," 13,534.82 "," 16,558.95 "," 26,339.00 "," 17,473.30 "," 29,665.33 "," 31,169.84 "," 37,594.73 "," 37,073.16 "," 33,790.67 "
Operating Profit, -   , -   , -   , -   , 525.02 , 604.61 , 873.64 , 664.87 , 977.03 ," 1,076.02 ", 765.16 ," 1,286.73 ", 687.74 
Other Income, -   , -   , -   , -   , 27.56 , 241.21 , 78.90 , 397.68 , 138.92 , 281.48 , 544.58 , -   , -   
Depreciation, -   , -   , -   , -   , 35.06 , 40.71 , 42.72 , 44.91 , 40.76 , 44.45 , -   , -   , -   
Interest, -   , -   , -   , -   , 14.63 , 10.99 , (14.10), 8.10 , 9.06 , 10.76 , -   , -   , -   
Profit before tax, -   , -   , -   , -   , 502.89 , 794.12 , 923.92 ," 1,009.54 "," 1,066.12 "," 1,302.29 "," 1,309.74 "," 1,286.73 ", 687.74 
Tax, -   , -   , -   , -   , 55.16 , 68.83 , 138.41 , 191.14 , 173.99 , 193.29 , 32.94 ,3%,3%
Net profit, -   , -   , -   , -   , 447.73 , 725.29 , 785.51 , 818.40 , 892.13 ," 1,109.00 "," 1,276.80 "," 1,254.37 ", 670.44 
EPS, -   , -   , -   , -   , 2.24 , 3.64 , 3.94 , 4.10 , 4.46 , 5.51 , 6.33 , 6.22 , 3.32 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 90.81 , 66.77 , 78.79 , 66.77 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 500.59 , 422.60 , 489.89 , 221.90 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,13.75%,17.78%,21.94%,24.64%,24.63%,,,
OPM,0.00%,0.00%,0.00%,0.00%,3.73%,3.52%,3.21%,3.67%,3.19%,3.34%,1.99%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,18.06%,5.82%,18.96%,18.96%,5.82%
,,,,,,OPM,3.39%,3.39%,3.35%,3.35%,1.99%,3.35%,1.99%
,,,,,,Price to Earning, 78.79 , 78.79 , 78.79 , 78.79 , 66.77 , 78.79 , 66.77 
