HMT LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (5.49), 6.40 , (15.40), (40.03), (18.43), (78.09), (37.74), 615.18 , (366.25), (51.75)
Cash from Investing Activity, 0.68 , (7.63), 102.91 , (0.01), 2.84 , (3.71), 3.47 , 11.51 , 2.29 , 7.90 
Cash from Financing Activity, 3.69 , (6.04), (88.07), 39.83 , 16.50 , 121.01 , 8.52 , (635.51), 491.02 , 51.30 
Net Cash Flow, (1.12), (7.27), (0.56), (0.21), 0.91 , 39.21 , (25.75), (8.82), 127.06 , 7.45 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
