HPL ELECTRIC & POWER LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , 17.98 , 17.98 , 18.57 , 18.57 , 18.57 , 46.43 , 64.30 , 64.30 
Reserves, -   , -   , 195.04 , 223.38 , 263.57 , 292.14 , 300.23 , 308.85 , 638.53 , 649.73 
Borrowings, -   , -   , 215.86 , 338.95 , 367.06 , 424.15 , 514.44 , 579.00 , 329.50 , 437.32 
Other Liabilities, -   , -   , 137.17 , 187.50 , 257.91 , 250.84 , 308.49 , 404.27 , 360.02 , 333.92 
Total, -   , -   , 566.05 , 767.81 , 907.11 , 985.70 ," 1,141.73 "," 1,338.55 "," 1,392.35 "," 1,485.27 "
,,,,,,,,,,
Net Block, -   , -   , 126.87 , 174.66 , 213.12 , 277.13 , 306.80 , 349.62 , 371.25 , 392.05 
Capital Work in Progress, -   , -   , 72.09 , 65.74 , 52.71 , 29.03 , -   , 2.75 , -   , 0.15 
Investments, -   , -   , 15.07 , 15.07 , 15.07 , 15.07 , 15.07 , 54.00 , 54.00 , 54.00 
Other Assets, -   , -   , 352.02 , 512.34 , 626.21 , 664.47 , 819.86 , 932.18 , 967.10 ," 1,039.07 "
Total, -   , -   , 566.05 , 767.81 , 907.11 , 985.70 ," 1,141.73 "," 1,338.55 "," 1,392.35 "," 1,485.27 "
,,,,,,,,,,
Working Capital, -   , -   , 214.85 , 324.84 , 368.30 , 413.63 , 511.37 , 527.91 , 607.08 , 705.15 
Debtors, -   , -   , 144.50 , 216.89 , 268.10 , 328.16 , 400.98 , 506.14 , 468.52 , 446.93 
Inventory, -   , -   , 138.07 , 210.74 , 261.26 , 253.65 , 306.19 , 300.10 , 343.09 , 395.15 
,,,,,,,,,,
Debtor Days, -   , -   , 93.19 , 110.61 , 108.34 , 118.92 , 140.04 , 165.65 , 184.54 , 163.11 
Inventory Turnover, -   , -   , 4.10 , 3.40 , 3.46 , 3.97 , 3.41 , 3.72 , 2.70 , 2.53 
,,,,,,,,,,
Return on Equity,,,17%,12%,11%,9%,11%,10%,3%,3%
Return on Capital Emp,,,32%,16%,17%,14%,15%,14%,9%,7%
,,,,,,,,,,
