HARRISONS MALAYALAM LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 18.45 , 18.45 , 18.45 , 18.45 , 18.45 , 18.45 , 18.45 , 18.45 , 18.45 , 18.45 
Reserves, 289.85 , 298.31 , 299.04 , 300.53 , 301.21 , 303.47 , 268.21 , 222.52 , 84.00 , 85.33 
Borrowings, 92.16 , 104.29 , 113.17 , 90.11 , 112.89 , 109.61 , 112.54 , 112.18 , 95.22 , 95.53 
Other Liabilities, 55.01 , 77.39 , 81.93 , 106.34 , 97.54 , 109.70 , 113.88 , 147.97 , 163.22 , 181.33 
Total, 455.47 , 498.44 , 512.59 , 515.43 , 530.09 , 541.23 , 513.08 , 501.12 , 360.89 , 380.64 
,,,,,,,,,,
Net Block, 179.91 , 418.00 , 423.46 , 426.14 , 428.49 , 429.45 , 427.75 , 423.77 , 277.09 , 276.89 
Capital Work in Progress, 3.42 , 3.58 , 1.80 , 0.53 , 4.58 , 2.15 , 1.83 , 0.83 , 7.91 , 11.09 
Investments, 12.10 , 0.01 , 0.01 , 0.21 , 0.21 , 0.21 , 0.21 , 0.16 , 0.16 , 0.16 
Other Assets, 260.04 , 76.85 , 87.32 , 88.55 , 96.81 , 109.42 , 83.29 , 76.36 , 75.73 , 92.50 
Total, 455.47 , 498.44 , 512.59 , 515.43 , 530.09 , 541.23 , 513.08 , 501.12 , 360.89 , 380.64 
,,,,,,,,,,
Working Capital, 205.03 , (0.54), 5.39 , (17.79), (0.73), (0.28), (30.59), (71.61), (87.49), (88.83)
Debtors, 11.14 , 10.51 , 12.87 , 12.85 , 8.18 , 14.86 , 12.78 , 6.94 , 7.59 , 14.39 
Inventory, 12.98 , 33.89 , 25.86 , 18.89 , 20.60 , 25.42 , 22.82 , 22.19 , 25.01 , 28.07 
,,,,,,,,,,
Debtor Days, 14.18 , 11.81 , 12.71 , 13.69 , 9.04 , 14.96 , 14.34 , 8.93 , 7.59 , 13.76 
Inventory Turnover, 22.09 , 9.58 , 14.29 , 18.14 , 16.04 , 14.26 , 14.25 , 12.79 , 14.60 , 13.60 
,,,,,,,,,,
Return on Equity,2%,3%,1%,1%,1%,1%,-12%,-19%,4%,4%
Return on Capital Emp,,6%,5%,6%,4%,5%,-5%,-8%,7%,9%
,,,,,,,,,,
