HARRISONS MALAYALAM LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 286.77 , 324.82 , 369.55 , 342.66 , 330.40 , 362.47 , 325.19 , 283.70 , 365.15 , 381.63 , 362.65 , 402.54 , 383.30 
Expenses, 267.57 , 305.23 , 347.37 , 313.28 , 307.93 , 340.75 , 342.35 , 316.57 , 352.23 , 369.08 , 380.25 , 392.59 , 383.30 
Operating Profit, 19.20 , 19.59 , 22.18 , 29.38 , 22.47 , 21.72 , (17.16), (32.87), 12.92 , 12.55 , (17.60), 9.95 , -   
Other Income, 4.41 , 9.27 , 4.92 , 4.05 , 2.11 , 4.80 , 3.40 , 6.89 , 10.04 , 8.73 , 8.45 , -   , -   
Depreciation, 3.42 , 4.40 , 6.12 , 6.23 , 6.51 , 6.31 , 7.21 , 5.51 , 5.01 , 4.16 , 3.87 , 3.87 , 3.87 
Interest, 12.67 , 12.68 , 15.73 , 16.88 , 14.59 , 15.11 , 14.30 , 14.20 , 13.87 , 12.68 , 13.25 , 13.25 , 13.25 
Profit before tax, 8.01 , 12.36 , 5.25 , 10.32 , 3.48 , 5.12 , (35.25), (45.68), 4.10 , 4.45 , (26.27), (7.17), (17.12)
Tax, 1.97 , 2.45 , 1.30 , 5.61 , 1.18 , 0.70 , -   , -   , -   , -   , -   ,0%,0%
Net profit, 6.04 , 9.91 , 3.95 , 4.71 , 2.30 , 4.42 , (35.26), (45.68), 4.09 , 4.45 , (26.27), (7.17), (17.12)
EPS, 3.27 , 5.37 , 2.14 , 2.55 , 1.25 , 2.39 , (19.11), (24.75), 2.22 , 2.41 , (14.23), (3.88), (9.27)
Price to earning, 10.51 , 19.29 , 37.81 , 29.66 , 37.41 , 21.19 , (2.52), (2.52), 39.09 , 39.57 , -   , 39.33 , -   
Price, 34.38 , 103.57 , 80.91 , 75.68 , 46.62 , 50.75 , 48.24 , 62.32 , 86.63 , 95.42 , 69.50 , (152.78), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,45.86%,37.24%,70.13%,5.94%,60.00%,41.63%,0.00%,0.00%,0.00%,0.00%,,,
OPM,6.70%,6.03%,6.00%,8.57%,6.80%,5.99%,0.00%,0.00%,3.54%,3.29%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,3.23%,0.46%,2.92%,5.48%,4.51%,5.48%,0.46%
,,,,,,OPM,4.74%,4.14%,2.75%,2.47%,0.00%,2.47%,0.00%
,,,,,,Price to Earning, 29.31 , 33.38 , 33.28 , 39.33 , -   , 39.33 , -   
