HATSUN AGRO PRODUCT LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 55.80 , 42.66 , 74.25 , 51.56 , 142.82 , 200.57 , 61.51 , 218.60 , 432.77 , 277.08 
Cash from Investing Activity, (140.27), (84.55), (44.88), (47.27), (143.03), (212.36), (124.31), (134.16), (568.85), (522.86)
Cash from Financing Activity, 78.67 , 49.82 , (33.69), (3.94), 0.53 , 13.12 , 75.62 , (78.58), 162.16 , 222.92 
Net Cash Flow, (5.80), 7.93 , (4.32), 0.35 , 0.32 , 1.33 , 12.82 , 5.86 , 26.07 , (22.85)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
