HAVELLS INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 273.17 , 199.16 , 341.63 , 357.21 , 381.44 , 652.53 , 600.44 , 525.37 , 777.83 ," 1,107.66 "
Cash from Investing Activity, (322.35), (299.45), (338.87), (185.56), (135.97), (383.25), (607.77), (77.41), (227.24)," (1,003.11)"
Cash from Financing Activity, 140.39 , 12.54 , (21.60), (84.81), (135.55), (115.49), (268.59), (497.79), (72.40), (358.31)
Net Cash Flow, 91.21 , (87.75), (18.84), 86.84 , 109.92 , 153.79 , (275.92), (49.83), 478.19 , (253.76)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
