HAVELLS INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 2,029.21 "," 2,322.31 "," 2,847.88 "," 3,575.00 "," 4,169.31 "," 4,660.96 "," 5,171.41 "," 5,359.47 "," 6,109.74 "," 8,125.44 "," 9,840.66 "," 10,806.15 "," 9,530.33 "
Expenses," 1,833.70 "," 2,013.80 "," 2,507.29 "," 3,107.22 "," 3,643.13 "," 4,001.19 "," 4,459.72 "," 4,391.58 "," 5,328.62 "," 7,089.28 "," 8,613.60 "," 9,270.17 "," 8,341.97 "
Operating Profit, 195.51 , 308.51 , 340.59 , 467.78 , 526.18 , 659.77 , 711.69 , 967.89 , 781.12 ," 1,036.16 "," 1,227.06 "," 1,535.98 "," 1,188.36 "
Other Income, 10.07 , 11.80 , 18.15 , (4.92), 4.65 , 38.03 , 50.65 , 69.35 , 93.97 , 128.90 , 113.27 , -   , -   
Depreciation, 17.86 , 23.27 , 29.34 , 44.66 , 57.88 , 63.63 , 87.51 , 104.91 , 119.63 , 139.52 , 144.24 , 144.24 , 144.24 
Interest, 25.03 , 11.74 , 19.11 , 44.39 , 28.55 , 50.70 , 43.17 , 42.15 , 12.15 , 23.97 , 18.13 , 18.13 , 18.13 
Profit before tax, 167.20 , 290.26 , 310.29 , 373.81 , 457.18 , 595.10 , 646.25 , 909.03 , 768.83 ," 1,014.70 "," 1,177.96 "," 1,373.61 "," 1,025.99 "
Tax, 21.97 , 62.10 , 68.24 , 68.38 , 85.79 , 116.41 , 181.31 , 197.00 , 229.79 , 302.18 , 367.51 ,31%,31%
Net profit, 145.23 , 228.16 , 242.05 , 305.43 , 371.39 , 478.69 , 464.94 , 712.03 , 539.04 , 712.52 , 810.45 , 945.06 , 705.90 
EPS, 4.00 , 6.28 , 3.88 , 4.90 , 5.95 , 7.67 , 7.45 , 11.40 , 8.63 , 11.40 , 12.96 , 15.11 , 11.29 
Price to earning, 3.90 , 9.90 , 20.36 , 23.39 , 21.22 , 23.98 , 38.89 , 29.32 , 55.65 , 47.09 , 56.64 , 56.64 , 30.03 
Price, 15.60 , 62.22 , 78.99 , 114.51 , 126.30 , 183.97 , 289.60 , 334.27 , 480.04 , 536.66 , 733.90 , 855.79 , 338.91 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,10.36%,9.89%,12.89%,26.56%,25.20%,39.10%,40.29%,52.63%,40.58%,35.09%,,,
OPM,9.63%,13.28%,11.96%,13.08%,12.62%,14.16%,13.76%,18.06%,12.78%,12.75%,12.47%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,16.67%,16.16%,14.28%,16.26%,32.99%,32.99%,14.28%
,,,,,,OPM,13.51%,13.86%,14.13%,14.21%,12.47%,14.21%,12.47%
,,,,,,Price to Earning, 30.03 , 37.02 , 41.93 , 47.17 , 56.64 , 56.64 , 30.03 
