HERITAGE FOODS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 796.03 , 900.38 ," 1,096.08 "," 1,393.41 "," 1,601.81 "," 1,722.04 "," 2,072.97 "," 2,380.58 "," 1,870.57 "," 2,343.68 "," 2,482.34 "," 2,936.45 "," 2,447.35 "
Expenses, 789.97 , 849.95 ," 1,058.06 "," 1,338.62 "," 1,496.79 "," 1,625.04 "," 1,989.29 "," 2,248.48 "," 1,740.97 "," 2,214.27 "," 2,596.32 "," 2,762.30 "," 2,447.35 "
Operating Profit, 6.06 , 50.43 , 38.02 , 54.79 , 105.02 , 97.00 , 83.68 , 132.10 , 129.60 , 129.41 , (113.98), 174.15 , -   
Other Income, 2.78 , 2.69 , 4.32 , 2.00 , 0.06 , 4.53 , 7.03 , 5.42 , 250.39 , 401.68 , 307.06 , -   , -   
Depreciation, 17.22 , 19.64 , 19.94 , 21.19 , 22.02 , 25.00 , 33.99 , 34.51 , 24.87 , 36.99 , 43.71 , 43.71 , 43.71 
Interest, 20.48 , 22.62 , 19.45 , 22.03 , 19.42 , 15.31 , 17.58 , 17.03 , 49.35 , 406.02 , 20.69 , 20.69 , 20.69 
Profit before tax, (28.86), 10.86 , 2.95 , 13.57 , 63.65 , 61.21 , 39.14 , 85.98 , 305.74 , 88.07 , 128.68 , 109.75 , (64.40)
Tax, 6.75 , 5.26 , 1.83 , 4.24 , 13.69 , 15.90 , 10.93 , 30.55 , 30.71 , 27.69 , 45.24 ,35%,35%
Net profit, (35.61), 5.60 , 1.12 , 9.33 , 49.96 , 45.31 , 28.21 , 55.43 , 275.03 , 60.38 , 83.44 , 71.16 , (41.76)
EPS, (15.44), 2.43 , 0.49 , 4.05 , 21.54 , 9.77 , 6.08 , 11.95 , 59.28 , 13.01 , 17.98 , 15.34 , (9.00)
Price to earning, (1.07), 21.51 , 110.02 , 9.25 , 4.96 , 13.61 , 26.80 , 21.43 , 9.34 , 55.64 , 25.29 , 27.93 , 20.79 
Price, 16.54 , 52.24 , 53.44 , 37.44 , 106.84 , 132.86 , 162.95 , 255.97 , 553.89 , 724.05 , 454.85 , 428.31 , (187.12)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,37.14%,123.21%,24.76%,6.97%,15.36%,24.67%,12.56%,3.37%,15.37%,,,
OPM,0.76%,5.60%,3.47%,3.93%,6.56%,5.63%,4.04%,5.55%,6.93%,5.52%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,12.75%,11.47%,7.91%,4.18%,25.29%,25.29%,4.18%
,,,,,,OPM,5.11%,5.47%,5.50%,5.93%,0.00%,5.93%,0.00%
,,,,,,Price to Earning, 29.79 , 20.79 , 25.35 , 27.93 , 25.29 , 27.93 , 20.79 
