HEXA TRADEX LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , 0.05 , 11.05 , 11.05 , 11.05 , 11.05 , 11.05 , 11.05 , 11.05 
Reserves, -   , -   , (0.01), 206.30 , 205.61 , 205.92 , 215.56 , 218.29 , 235.29 , 241.00 
Borrowings, -   , -   , -   , 3.00 , 13.57 , -   , -   , 2.38 , 0.91 , 1.05 
Other Liabilities, -   , -   , -   , 1.00 , 26.27 , 0.26 , 0.66 , 3.48 , 11.54 , 13.67 
Total, -   , -   , 0.04 , 221.35 , 256.50 , 217.23 , 227.27 , 235.20 , 258.79 , 266.77 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , 0.01 , -   , -   , -   , -   , -   
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , -   , -   , 25.59 , 25.59 , 25.64 , 25.64 , 221.52 , 247.29 , 256.75 
Other Assets, -   , -   , 0.04 , 195.76 , 230.90 , 191.59 , 201.63 , 13.68 , 11.50 , 10.02 
Total, -   , -   , 0.04 , 221.35 , 256.50 , 217.23 , 227.27 , 235.20 , 258.79 , 266.77 
,,,,,,,,,,
Working Capital, -   , -   , 0.04 , 194.76 , 204.63 , 191.33 , 200.97 , 10.20 , (0.04), (3.65)
Debtors, -   , -   , -   , 2.42 , 38.19 , 0.09 , 0.16 , 0.09 , 0.09 , 0.09 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , 335.86 , 138.74 , 0.92 , 1.64 , 1.42 , 4.05 , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,-25%,0%,0%,0%,4%,1%,-1%,-1%
Return on Capital Emp,,,-50%,-1%,0%,0%,7%,2%,-2%,-1%
,,,,,,,,,,
