HEXA TRADEX LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , (2.94), (11.42), 8.85 , 13.46 , 5.75 , 2.14 , (0.30)
Cash from Investing Activity, -   , -   , -   , -   , 1.02 , 4.66 , (13.31), (8.05), (0.44), -   
Cash from Financing Activity, -   , -   , -   , 2.97 , 10.53 , (13.41), -   , 2.32 , (1.77), 0.03 
Net Cash Flow, -   , -   , -   , 0.03 , 0.13 , 0.10 , 0.15 , 0.01 , (0.06), (0.26)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
