HIGH GROUND ENTERPRISE LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 0.10 , -   , 0.21 , 12.22 , 27.51 , 76.36 , 153.94 , 248.03 , 307.50 , 537.26 , 512.18 , 938.69 , 801.98 
Expenses, 0.09 , 0.09 , 0.39 , 9.10 , 24.14 , 70.31 , 138.37 , 230.38 , 280.71 , 504.08 , 479.24 , 872.02 , 750.41 
Operating Profit, 0.01 , (0.09), (0.18), 3.12 , 3.37 , 6.05 , 15.57 , 17.65 , 26.79 , 33.18 , 32.94 , 66.67 , 51.58 
Other Income, -   , -   , -   , -   , 1.02 , 0.80 , 0.61 , 8.70 , 0.12 , 0.79 , 0.80 , -   , -   
Depreciation, -   , -   , -   , -   , 0.01 , 0.01 , 0.95 , 1.33 , 1.15 , 1.76 , 2.74 , 2.74 , 2.74 
Interest, -   , -   , -   , -   , 0.36 , 0.88 , 2.47 , 3.42 , 6.58 , 6.79 , 7.86 , 7.86 , 7.86 
Profit before tax, 0.01 , (0.09), (0.18), 3.12 , 4.01 , 5.96 , 12.76 , 21.60 , 19.18 , 25.41 , 23.14 , 56.07 , 40.98 
Tax, 0.01 , -   , -   , 0.49 , 1.35 , 1.91 , 4.34 , 7.48 , 6.66 , 9.10 , 8.31 ,36%,36%
Net profit, -   , (0.09), (0.18), 2.63 , 2.66 , 4.05 , 8.43 , 14.13 , 12.52 , 16.30 , 14.84 , 35.94 , 26.26 
EPS, -   , (0.05), (0.06), 0.45 , 0.45 , 0.69 , 0.90 , 1.35 , 1.09 , 1.42 , 1.29 , 3.12 , 2.28 
Price to earning,  ,  ,  ,  , 4.12 , 9.24 , 36.78 , 38.74 , 23.88 , 8.47 , 4.96 , 19.01 , 4.96 
Price, -   , -   , -   , -   , 1.86 , 6.35 , 32.95 , 52.30 , 25.97 , 11.99 , 6.40 , 59.35 , 11.33 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,10.53%,0.00%,11.15%,7.43%,9.19%,7.06%,,,
OPM,10.00%,0.00%,0.00%,25.53%,12.25%,7.92%,10.11%,7.12%,8.71%,6.18%,6.43%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,159.70%,206.80%,81.19%,51.69%,74.72%,74.72%,51.69%
,,,,,,OPM,7.76%,7.76%,7.50%,7.10%,6.43%,7.10%,6.43%
,,,,,,Price to Earning, 18.03 , 18.03 , 20.34 , 19.01 , 4.96 , 19.01 , 4.96 
