HIKAL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 478.00 , 536.00 , 493.52 , 694.24 , 660.41 , 829.21 , 871.85 , 925.65 ," 1,013.94 "," 1,296.09 "," 1,589.61 "," 1,656.75 "," 1,482.41 "
Expenses, 347.63 , 358.78 , 380.82 , 503.40 , 475.71 , 644.43 , 693.27 , 746.32 , 814.35 ," 1,054.37 "," 1,291.48 "," 1,338.97 "," 1,204.38 "
Operating Profit, 130.37 , 177.22 , 112.70 , 190.84 , 184.70 , 184.78 , 178.58 , 179.33 , 199.59 , 241.72 , 298.13 , 317.78 , 278.02 
Other Income, (22.18), (52.93), 12.41 , (24.32), (42.45), 33.89 , 1.58 , 1.84 , 1.05 , 4.46 , 2.26 , -   , -   
Depreciation, 20.97 , 32.96 , 38.19 , 42.42 , 49.06 , 55.02 , 64.18 , 67.28 , 69.14 , 85.59 , 92.88 , 92.88 , 92.88 
Interest, 24.84 , 34.83 , 41.24 , 64.03 , 59.88 , 68.00 , 60.05 , 62.19 , 48.27 , 49.12 , 58.43 , 58.43 , 58.43 
Profit before tax, 62.38 , 56.50 , 45.68 , 60.07 , 33.33 , 98.31 , 59.85 , 53.30 , 83.22 , 111.50 , 149.08 , 166.47 , 126.71 
Tax, 3.49 , (3.67), 1.39 , 5.99 , 7.82 , 34.23 , 19.35 , 11.99 , 12.54 , 34.27 , 46.00 ,31%,31%
Net profit, 58.89 , 60.17 , 44.29 , 54.08 , 25.50 , 64.08 , 40.51 , 41.32 , 70.67 , 77.23 , 103.08 , 115.11 , 87.62 
EPS, 7.16 , 7.32 , 5.39 , 6.58 , 3.10 , 7.80 , 4.93 , 5.03 , 8.60 , 9.40 , 8.36 , 9.34 , 7.11 
Price to earning, 3.42 , 6.99 , 7.73 , 5.70 , 17.06 , 8.32 , 19.46 , 18.00 , 16.57 , 16.80 , 21.29 , 21.29 , 12.85 
Price, 24.47 , 51.13 , 41.65 , 37.53 , 52.92 , 64.85 , 95.92 , 90.47 , 142.45 , 157.82 , 178.00 , 198.77 , 91.30 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,21.85%,22.26%,18.23%,16.12%,11.55%,20.29%,19.89%,13.95%,12.77%,,,
OPM,27.27%,33.06%,22.84%,27.49%,27.97%,22.28%,20.48%,19.37%,19.68%,18.65%,18.75%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.72%,14.79%,14.44%,14.13%,27.83%,27.83%,11.72%
,,,,,,OPM,22.82%,21.61%,19.93%,19.18%,18.75%,19.18%,18.75%
,,,,,,Price to Earning, 12.85 , 15.40 , 16.74 , 18.16 , 21.29 , 21.29 , 12.85 
