HIMADRI SPECIALITY CHEMICAL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 376.25 , 469.51 , 699.64 ," 1,123.06 "," 1,299.39 "," 1,362.18 "," 1,376.91 "," 1,150.49 "," 1,321.78 "," 1,968.42 "," 2,343.93 "," 2,931.41 "," 2,171.44 "
Expenses, 282.27 , 286.81 , 500.28 , 941.15 ," 1,181.50 "," 1,268.13 "," 1,261.37 "," 1,008.62 "," 1,094.83 "," 1,518.41 "," 1,821.29 "," 2,277.78 "," 1,871.08 "
Operating Profit, 93.98 , 182.70 , 199.36 , 181.91 , 117.89 , 94.05 , 115.54 , 141.87 , 226.95 , 450.01 , 522.64 , 653.63 , 300.36 
Other Income, 3.93 , 15.24 , 7.58 , 19.75 , 30.40 , 21.13 , 14.96 , 10.95 , 7.90 , 7.77 , 22.80 , -   , -   
Depreciation, 15.72 , 24.81 , 33.25 , 44.41 , 52.18 , 54.52 , 55.36 , 63.72 , 30.97 , 31.41 , 32.43 , 32.43 , 32.43 
Interest, 19.02 , 27.88 , 30.28 , 75.72 , 79.06 , 116.51 , 101.51 , 109.99 , 80.47 , 70.43 , 72.50 , 72.50 , 72.50 
Profit before tax, 63.17 , 145.25 , 143.41 , 81.53 , 17.06 , (55.86), (26.37), (20.89), 123.40 , 355.93 , 440.51 , 548.70 , 195.43 
Tax, 16.39 , 37.91 , 29.02 , 18.22 , (6.49), (16.76), (11.97), (4.52), 42.22 , 113.35 , 134.16 ,30%,30%
Net profit, 46.78 , 107.34 , 114.39 , 63.31 , 23.55 , (39.11), (14.40), (16.36), 81.17 , 242.57 , 306.35 , 381.59 , 135.91 
EPS, 1.47 , 2.78 , 2.97 , 1.64 , 0.61 , (1.01), (0.37), (0.39), 1.94 , 5.80 , 7.32 , 9.12 , 3.25 
Price to earning, 7.45 , 18.97 , 13.58 , 21.87 , 21.47 , (20.26), (53.64), (43.81), 26.15 , 25.53 , 13.98 , 21.88 , 13.98 
Price, 10.95 , 52.79 , 40.26 , 35.90 , 13.11 , 20.54 , 20.02 , 17.13 , 50.72 , 147.98 , 102.30 , 199.48 , 45.39 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,6.82%,3.60%,3.37%,6.10%,16.39%,0.00%,0.00%,0.00%,5.15%,1.72%,,,
OPM,24.98%,38.91%,28.49%,16.20%,9.07%,6.90%,8.39%,12.33%,17.17%,22.86%,22.30%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,20.18%,15.93%,8.66%,12.65%,48.92%,48.92%,8.66%
,,,,,,OPM,16.19%,13.83%,14.32%,18.44%,22.30%,22.30%,13.83%
,,,,,,Price to Earning, 18.62 , 21.80 , 21.88 , 21.88 , 13.98 , 21.88 , 13.98 
