HIMATSINGKA SEIDE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 49.23 , 49.23 , 49.23 , 49.23 , 49.23 , 49.23 , 49.23 , 49.23 , 49.23 , 49.23 
Reserves, 505.73 , 517.27 , 475.09 , 467.94 , 502.57 , 549.94 , 635.36 , 837.19 ," 1,017.49 "," 1,167.70 "
Borrowings, 441.58 , 518.08 , 498.57 , 450.58 , 464.29 , 442.56 , 499.91 , 750.17 ," 1,165.80 "," 1,886.22 "
Other Liabilities, 174.77 , 163.15 , 168.38 , 214.78 , 160.27 , 271.74 , 227.11 , 273.78 , 408.53 , 703.68 
Total," 1,171.31 "," 1,247.73 "," 1,191.27 "," 1,182.53 "," 1,176.36 "," 1,313.47 "," 1,411.61 "," 1,910.37 "," 2,641.05 "," 3,806.83 "
,,,,,,,,,,
Net Block, 464.38 , 496.12 , 478.95 , 440.20 , 406.79 , 368.34 , 345.08 , 542.17 , 804.30 ," 1,731.30 "
Capital Work in Progress, 56.28 , 27.56 , 6.39 , 8.87 , 6.03 , 9.46 , 36.49 , 28.46 , 99.02 , 28.04 
Investments, 240.57 , 277.08 , 295.10 , 337.85 , 351.60 , 358.26 , 395.41 , 293.56 , 229.78 , 424.59 
Other Assets, 410.08 , 446.97 , 410.83 , 395.61 , 411.94 , 577.41 , 634.63 ," 1,046.18 "," 1,507.95 "," 1,622.90 "
Total," 1,171.31 "," 1,247.73 "," 1,191.27 "," 1,182.53 "," 1,176.36 "," 1,313.47 "," 1,411.61 "," 1,910.37 "," 2,641.05 "," 3,806.83 "
,,,,,,,,,,
Working Capital, 235.31 , 283.82 , 242.45 , 180.83 , 251.67 , 305.67 , 407.52 , 772.40 ," 1,099.42 ", 919.22 
Debtors, 54.57 , 53.26 , 49.81 , 72.58 , 72.25 , 106.12 , 60.92 , 194.95 , 340.62 , 407.86 
Inventory, 120.69 , 196.83 , 166.22 , 156.60 , 144.38 , 194.83 , 149.90 , 170.47 , 259.23 , 291.99 
,,,,,,,,,,
Debtor Days, 48.78 , 42.61 , 35.79 , 40.73 , 36.91 , 39.38 , 23.45 , 69.62 , 88.93 , 92.58 
Inventory Turnover, 3.38 , 2.32 , 3.06 , 4.15 , 4.95 , 5.05 , 6.33 , 6.00 , 5.39 , 5.51 
,,,,,,,,,,
Return on Equity,-6%,1%,-8%,4%,8%,10%,16%,16%,17%,17%
Return on Capital Emp,,3%,-1%,5%,8%,10%,14%,17%,16%,14%
,,,,,,,,,,
