HIMATSINGKA SEIDE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 46.13 , (31.38), 76.06 , 79.78 , 115.24 , 102.68 , 198.01 , 86.32 , 75.08 , 79.50 
Cash from Investing Activity, (77.74), (12.16), (32.24), 5.19 , (70.81), (17.91), (192.90), (71.88), (476.49), (604.30)
Cash from Financing Activity, 26.33 , 48.70 , (49.38), (85.34), (32.28), (88.37), (5.78), 81.30 , 332.17 , 567.98 
Net Cash Flow, (5.28), 5.16 , (5.56), (0.37), 12.15 , (3.60), (0.67), 95.74 , (69.25), 43.17 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
