HIND RECTIFIERS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 98.18 , 75.44 , 101.66 , 117.94 , 136.22 , 96.72 , 93.97 , 93.94 , 111.49 , 125.70 , 255.14 , 255.14 , 121.63 
Expenses, 81.65 , 63.64 , 87.00 , 102.12 , 122.04 , 100.25 , 96.43 , 91.88 , 106.78 , 115.90 , 229.83 , 229.83 , 117.77 
Operating Profit, 16.53 , 11.80 , 14.66 , 15.82 , 14.18 , (3.53), (2.46), 2.06 , 4.71 , 9.80 , 25.31 , 25.31 , 3.86 
Other Income, 0.07 , 0.35 , 0.18 , 0.24 , 0.24 , 0.46 , 0.37 , 0.61 , (7.33), 0.49 , 1.06 , -   , -   
Depreciation, 1.72 , 1.56 , 2.40 , 2.40 , 2.35 , 2.29 , 1.47 , 1.58 , 2.00 , 2.31 , 2.72 , 2.72 , 2.72 
Interest, 0.82 , 0.55 , 0.82 , 1.58 , 0.95 , 1.71 , 2.35 , 3.27 , 5.16 , 5.95 , 7.00 , 7.00 , 7.00 
Profit before tax, 14.06 , 10.04 , 11.62 , 12.08 , 11.10 , (7.07), (5.92), (2.19), (9.78), 2.01 , 16.65 , 15.59 , (5.86)
Tax, 4.61 , 2.27 , 1.48 , 1.40 , 0.97 , (2.13), (2.35), (0.68), (2.66), 0.70 , 4.86 ,29%,29%
Net profit, 9.45 , 7.77 , 10.14 , 10.68 , 10.13 , (4.93), (3.57), (1.51), (7.12), 1.31 , 11.78 , 11.04 , (4.15)
EPS, 4.18 , 5.16 , 6.73 , 7.09 , 6.73 , (3.27), (2.37), (1.00), (4.73), 0.79 , 7.11 , 6.66 , (2.50)
Price to earning, 8.91 , 11.10 , 6.65 , 5.52 , 7.47 , (11.20), (28.01), (63.30), (18.43), 178.92 , 18.63 , 98.78 , 18.63 
Price, 37.27 , 57.28 , 44.78 , 39.18 , 50.24 , 36.69 , 66.40 , 63.48 , 87.17 , 141.51 , 132.50 , 658.32 , (46.65)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,31.85%,27.16%,22.29%,22.57%,23.79%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,16.84%,15.64%,14.42%,13.41%,10.41%,0.00%,0.00%,2.19%,4.22%,7.80%,9.92%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,2.78%,3.08%,-1.59%,10.18%,102.98%,102.98%,-1.59%
,,,,,,OPM,8.52%,6.00%,3.18%,5.00%,9.92%,9.92%,3.18%
,,,,,,Price to Earning, 33.89 , 52.64 , 98.78 , 98.78 , 18.63 , 98.78 , 18.63 
