HINDUSTAN MOTORS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Sep-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (47.86), 10.68 , (103.58), (100.03), (109.06), (24.06), 33.15 , 8.52 , 10.64 , (33.46)
Cash from Investing Activity, 47.26 , 56.96 , 77.29 , 99.89 , 149.59 , 77.88 , 0.70 , 0.36 , 1.00 , 79.22 
Cash from Financing Activity, (5.56), (34.84), 25.81 , (8.26), (53.37), (60.06), (34.52), (8.97), (11.64), (29.24)
Net Cash Flow, (6.16), 32.80 , (0.48), (8.40), (12.84), (6.24), (0.66), (0.08), -   , 16.52 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
