HINDUSTHAN NATIONAL GLASS & INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 1,311.04 "," 1,359.90 "," 1,552.23 "," 1,888.85 "," 1,825.84 "," 1,814.38 "," 1,997.71 "," 1,978.68 "," 1,853.52 "," 1,965.49 "," 2,403.52 "," 2,403.52 "," 1,952.50 "
Expenses," 1,096.67 "," 1,078.12 "," 1,278.69 "," 1,586.08 "," 1,668.98 "," 1,639.13 "," 1,783.49 "," 1,712.94 "," 1,669.30 "," 1,852.99 "," 2,267.37 "," 2,170.34 "," 1,841.90 "
Operating Profit, 214.37 , 281.78 , 273.54 , 302.77 , 156.86 , 175.25 , 214.22 , 265.74 , 184.22 , 112.50 , 136.15 , 233.18 , 110.60 
Other Income, 21.55 , 34.55 , (3.25), 1.13 , (1.18), 89.10 , 62.52 , 6.07 , 101.54 , 2.12 , 102.24 , -   , -   
Depreciation, 74.75 , 86.12 , 99.67 , 116.52 , 198.31 , 247.01 , 253.82 , 199.31 , 174.87 , 160.93 , 158.53 , 158.53 , 158.53 
Interest, 43.45 , 47.17 , 50.83 , 92.33 , 203.57 , 256.52 , 259.05 , 254.83 , 238.00 , 251.85 , 252.56 , 252.56 , 252.56 
Profit before tax, 117.72 , 183.04 , 119.79 , 95.05 , (246.19), (239.17), (236.12), (182.32), (127.12), (298.15), (172.70), (177.91), (300.49)
Tax, 9.97 , 27.85 , 33.37 , 4.19 , (74.39), (20.99), 0.92 , -   , -   , (3.64), 0.25 ,0%,0%
Net profit, 107.75 , 155.19 , 86.42 , 90.86 , (171.80), (218.18), (237.04), (182.31), (127.11), (294.51), (172.95), (177.91), (300.49)
EPS, 12.34 , 17.77 , 9.89 , 10.40 , (19.67), (24.98), (27.14), (20.87), (14.55), (32.89), (19.31), (19.87), (33.55)
Price to earning, 8.12 , 13.35 , 21.85 , 19.04 , (9.88), (5.83), (4.20), (3.71), (7.45), (3.22), -   , -   , -   
Price, 100.18 , 237.27 , 216.24 , 198.08 , 194.36 , 145.70 , 113.96 , 77.42 , 108.45 , 105.81 , 70.30 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,8.10%,8.44%,15.16%,14.42%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,16.35%,20.72%,17.62%,16.03%,8.59%,9.66%,10.72%,13.43%,9.94%,5.72%,5.66%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,4.60%,3.43%,1.48%,-0.54%,22.29%,22.29%,-0.54%
,,,,,,OPM,12.43%,10.59%,9.91%,9.70%,5.66%,9.70%,5.66%
,,,,,,Price to Earning, 15.59 , 19.04 ,  ,  , -   , -   , -   
