HINDUJA GLOBAL SOLUTIONS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 444.76 , 486.81 , 544.71 , 631.35 , 703.41 , 866.35 ," 1,070.40 "," 1,375.67 "," 1,597.54 "," 1,669.94 "," 2,134.35 "," 2,134.35 "," 2,007.93 "
Expenses, 326.29 , 352.31 , 420.44 , 526.15 , 582.25 , 687.50 , 860.94 ," 1,135.60 "," 1,374.72 "," 1,458.14 "," 1,810.63 "," 1,810.63 "," 1,716.16 "
Operating Profit, 118.47 , 134.50 , 124.27 , 105.20 , 121.16 , 178.85 , 209.46 , 240.07 , 222.82 , 211.80 , 323.72 , 323.72 , 291.77 
Other Income, (7.03), 8.47 , 8.16 , 14.17 , 12.28 , 65.84 , 27.82 , 31.21 , 27.14 , 39.32 , 51.04 , -   , -   
Depreciation, 28.15 , 33.60 , 38.04 , 36.14 , 38.60 , 42.04 , 60.56 , 81.84 , 78.30 , 74.72 , 91.38 , 91.38 , 91.38 
Interest, 8.59 , 7.65 , 5.96 , 11.02 , 17.31 , 17.67 , 15.75 , 14.96 , 15.63 , 9.49 , 10.25 , 10.25 , 10.25 
Profit before tax, 74.70 , 101.72 , 88.43 , 72.21 , 77.53 , 184.98 , 160.98 , 174.48 , 156.02 , 166.92 , 273.13 , 222.09 , 190.14 
Tax, 12.79 , 6.58 , 13.24 , 9.59 , 23.52 , 50.42 , 48.40 , 52.07 , 54.49 , 24.77 , 57.86 ,21%,21%
Net profit, 61.91 , 95.14 , 75.19 , 62.62 , 54.01 , 134.56 , 112.58 , 122.42 , 101.53 , 142.15 , 215.28 , 175.04 , 149.86 
EPS, 30.14 , 46.21 , 36.52 , 30.41 , 26.23 , 65.27 , 54.34 , 59.06 , 48.95 , 68.34 , 103.28 , 83.98 , 71.90 
Price to earning, 4.37 , 10.01 , 10.25 , 10.38 , 10.17 , 8.06 , 10.65 , 6.79 , 11.63 , 13.37 , 6.25 , 9.51 , 6.25 
Price, 131.60 , 462.66 , 374.23 , 315.64 , 266.88 , 525.81 , 578.84 , 400.71 , 569.45 , 914.02 , 645.65 , 798.74 , 449.45 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,49.77%,43.28%,54.77%,65.76%,76.25%,30.65%,36.81%,25.40%,20.43%,14.63%,,,
OPM,26.64%,27.63%,22.81%,16.66%,17.22%,20.64%,19.57%,17.45%,13.95%,12.68%,15.17%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,15.84%,17.36%,18.88%,15.98%,27.81%,27.81%,15.84%
,,,,,,OPM,17.75%,16.29%,16.16%,14.53%,15.17%,15.17%,14.53%
,,,,,,Price to Earning, 9.27 , 9.66 , 9.46 , 9.51 , 6.25 , 9.51 , 6.25 
