HINDUSTAN MEDIA VENTURES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 17.63 , 163.47 , 516.18 , 596.64 , 636.27 , 729.72 , 818.59 , 917.72 , 933.18 , 880.10 , 865.83 , 901.61 , 866.06 
Expenses, 17.23 , 137.94 , 428.67 , 501.30 , 523.62 , 578.34 , 638.35 , 683.91 , 727.70 , 699.02 , 815.28 , 696.80 , 815.50 
Operating Profit, 0.40 , 25.53 , 87.51 , 95.34 , 112.65 , 151.38 , 180.24 , 233.81 , 205.48 , 181.08 , 50.55 , 204.81 , 50.56 
Other Income, 0.15 , 3.11 , 9.56 , 19.12 , 28.37 , 30.42 , 56.44 , 60.95 , 92.02 , 79.46 , 90.08 , -   , -   
Depreciation, 0.39 , 2.51 , 16.45 , 19.42 , 21.70 , 21.56 , 24.32 , 21.91 , 20.21 , 19.66 , 20.76 , 20.76 , 20.76 
Interest, 0.01 , 3.74 , 4.46 , 3.30 , 5.28 , 5.69 , 10.54 , 11.33 , 16.14 , 11.33 , 17.58 , 17.58 , 17.58 
Profit before tax, 0.15 , 22.39 , 76.16 , 91.74 , 114.04 , 154.56 , 201.83 , 261.51 , 261.24 , 229.55 , 102.29 , 166.47 , 12.22 
Tax, 0.07 , 7.64 , 22.57 , 26.39 , 29.52 , 43.35 , 60.96 , 82.77 , 67.64 , 58.33 , 30.39 ,30%,30%
Net profit, 0.08 , 14.75 , 53.59 , 65.35 , 84.52 , 111.21 , 140.86 , 178.74 , 193.60 , 171.22 , 71.90 , 117.01 , 8.59 
EPS, 0.01 , 2.58 , 7.30 , 8.90 , 11.52 , 15.15 , 19.19 , 24.35 , 26.38 , 23.33 , 9.80 , 15.94 , 1.17 
Price to earning,  ,  , 19.46 , 16.19 , 11.91 , 8.84 , 11.46 , 10.56 , 10.95 , 9.68 , 11.09 , 11.09 , 10.43 
Price, -   , -   , 142.07 , 144.11 , 137.15 , 133.88 , 219.98 , 257.13 , 288.74 , 225.93 , 108.65 , 176.82 , 12.21 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,13.70%,13.48%,10.42%,7.92%,6.25%,4.93%,4.55%,5.15%,,,
OPM,2.27%,15.62%,16.95%,15.98%,17.70%,20.74%,22.02%,25.48%,22.02%,20.57%,5.84%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,54.42%,7.92%,6.70%,2.44%,-1.62%,2.44%,-1.62%
,,,,,,OPM,20.51%,21.04%,22.25%,22.72%,5.84%,22.72%,5.84%
,,,,,,Price to Earning, 12.24 , 11.33 , 10.43 , 10.57 , 11.09 , 11.09 , 10.43 
