HITECH CORPORATION LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 13.18 , 13.18 , 13.18 , 13.18 , 13.18 , 13.18 , 15.18 , 17.18 , 17.18 , 17.18 
Reserves, 34.92 , 46.36 , 55.76 , 64.30 , 68.85 , 71.21 , 97.49 , 118.37 , 126.89 , 132.82 
Borrowings, 18.59 , 40.47 , 62.18 , 69.61 , 68.13 , 71.10 , 68.54 , 36.88 , 107.60 , 162.81 
Other Liabilities, 11.76 , 15.11 , 18.62 , 17.23 , 20.01 , 21.37 , 69.51 , 63.21 , 51.49 , 41.80 
Total, 78.45 , 115.12 , 149.74 , 164.32 , 170.17 , 176.86 , 250.72 , 235.64 , 303.16 , 354.61 
,,,,,,,,,,
Net Block, 23.07 , 32.38 , 55.80 , 56.71 , 82.65 , 78.47 , 121.40 , 96.87 , 139.38 , 155.95 
Capital Work in Progress, 0.27 , 14.06 , 1.53 , 4.81 , 0.07 , 0.60 , 1.50 , 2.25 , 7.68 , 43.79 
Investments, 19.12 , 28.06 , 34.09 , 34.09 , 34.09 , 34.09 , -   , -   , -   , -   
Other Assets, 35.99 , 40.62 , 58.32 , 68.71 , 53.36 , 63.70 , 127.82 , 136.52 , 156.10 , 154.87 
Total, 78.45 , 115.12 , 149.74 , 164.32 , 170.17 , 176.86 , 250.72 , 235.64 , 303.16 , 354.61 
,,,,,,,,,,
Working Capital, 24.23 , 25.51 , 39.70 , 51.48 , 33.35 , 42.33 , 58.31 , 73.31 , 104.61 , 113.07 
Debtors, 15.51 , 18.77 , 26.97 , 29.08 , 25.02 , 33.10 , 73.98 , 61.12 , 87.16 , 75.26 
Inventory, 9.08 , 12.81 , 20.87 , 18.96 , 13.29 , 17.59 , 25.62 , 30.09 , 32.85 , 37.44 
,,,,,,,,,,
Debtor Days, 42.13 , 43.15 , 48.15 , 45.86 , 35.68 , 44.57 , 58.09 , 56.83 , 86.63 , 70.71 
Inventory Turnover, 14.80 , 12.40 , 9.80 , 12.21 , 19.26 , 15.41 , 18.14 , 13.05 , 11.18 , 10.38 
,,,,,,,,,,
Return on Equity,19%,23%,17%,14%,9%,4%,6%,10%,6%,5%
Return on Capital Emp,,30%,22%,19%,14%,13%,15%,17%,11%,9%
,,,,,,,,,,
