HONEYWELL AUTOMATION INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 1,001.32 "," 1,174.56 "," 1,354.71 "," 1,613.04 "," 1,660.73 "," 1,706.99 "," 2,403.67 "," 2,187.62 "," 2,410.07 "," 2,689.98 "," 3,174.74 "," 3,174.74 "," 2,811.33 "
Expenses, 886.24 , 984.84 ," 1,210.15 "," 1,467.99 "," 1,538.06 "," 1,588.54 "," 2,191.97 "," 1,966.83 "," 2,120.98 "," 2,318.63 "," 2,679.14 "," 2,679.14 "," 2,527.92 "
Operating Profit, 115.08 , 189.72 , 144.56 , 145.05 , 122.67 , 118.45 , 211.70 , 220.79 , 289.09 , 371.35 , 495.60 , 495.60 , 283.41 
Other Income, 11.82 , 4.74 , 7.32 , 16.32 , 10.98 , 18.64 , (17.18), 23.97 , 37.32 , 28.88 , 78.66 , -   , -   
Depreciation, 8.52 , 11.86 , 12.90 , 14.81 , 13.99 , 13.92 , 16.86 , 15.40 , 16.35 , 15.20 , 15.89 , 15.89 , 15.89 
Interest, 0.72 , 0.62 , 0.08 , 0.85 , 0.34 , 0.39 , 0.44 , 3.20 , 2.75 , 3.80 , 3.48 , 3.48 , 3.48 
Profit before tax, 117.66 , 181.98 , 138.90 , 145.71 , 119.32 , 122.78 , 177.22 , 226.16 , 307.31 , 381.23 , 554.89 , 476.23 , 264.04 
Tax, 35.81 , 49.19 , 33.85 , 38.57 , 34.15 , 36.62 , 63.02 , 84.97 , 137.86 , 131.50 , 196.05 ,35%,35%
Net profit, 81.85 , 132.79 , 105.05 , 107.14 , 85.17 , 86.16 , 114.20 , 141.19 , 169.45 , 249.73 , 358.84 , 307.97 , 170.75 
EPS, 92.57 , 150.19 , 118.81 , 121.18 , 96.33 , 97.45 , 129.16 , 159.69 , 191.65 , 282.45 , 405.93 , 348.38 , 193.16 
Price to earning, 8.84 , 15.12 , 19.98 , 15.82 , 27.20 , 27.34 , 62.89 , 56.53 , 56.46 , 65.60 , 64.71 , 64.71 , 38.23 
Price, 818.30 ," 2,270.10 "," 2,374.27 "," 1,916.63 "," 2,620.27 "," 2,663.97 "," 8,123.18 "," 9,027.54 "," 10,820.36 "," 18,527.52 "," 26,266.75 "," 22,543.23 "," 7,383.63 "
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,6.66%,8.42%,8.25%,10.38%,10.26%,9.68%,6.26%,5.22%,11.33%,,,
OPM,11.49%,16.15%,10.67%,8.99%,7.39%,6.94%,8.81%,10.09%,12.00%,13.80%,15.61%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.61%,10.30%,10.13%,3.82%,18.02%,18.02%,3.82%
,,,,,,OPM,10.59%,10.08%,10.63%,12.09%,15.61%,15.61%,10.08%
,,,,,,Price to Earning, 38.23 , 47.07 , 55.59 , 60.82 , 64.71 , 64.71 , 38.23 
