HOTEL RUGBY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (0.74), (0.42), 1.63 , (0.35), 0.12 , 0.71 , (0.38), (0.09), (0.16), (0.18)
Cash from Investing Activity, (1.14), 1.84 , (0.47), (2.17), (2.72), (0.72), 0.33 , 0.15 , 0.11 , 0.15 
Cash from Financing Activity, 0.39 , (0.45), -   , 1.76 , (1.83), -   , -   , (0.06), 0.05 , 0.03 
Net Cash Flow, (1.49), 0.97 , 1.16 , (0.76), (4.43), (0.01), (0.04), 0.01 , -   , -   
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
