HOTEL RUGBY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Expenses, 0.54 , 0.13 , 0.17 , 0.13 , 0.24 , 0.22 , 0.40 , 0.20 , 0.17 , 0.21 , 0.26 , -   , -   
Operating Profit, (0.54), (0.13), (0.17), (0.13), (0.24), (0.22), (0.40), (0.20), (0.17), (0.21), (0.26), -   , -   
Other Income, 1.09 , 0.27 , 0.87 , 0.41 , 3.41 , (0.28), 0.17 , 0.26 , 0.13 , 0.15 , 0.15 , -   , -   
Depreciation, 0.02 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Interest, 0.01 , 0.02 , -   , 0.02 , 0.04 , -   , -   , -   , -   , 0.02 , -   , -   , -   
Profit before tax, 0.52 , 0.12 , 0.70 , 0.26 , 3.14 , (0.49), (0.23), 0.06 , (0.04), (0.09), (0.11), -   , -   
Tax, 0.05 , 0.01 , -   , 0.01 , 0.02 , (0.02), 0.04 , 0.01 , -   , -   , -   ,0%,0%
Net profit, 0.47 , 0.11 , 0.70 , 0.26 , 3.12 , (0.47), (0.27), 0.05 , (0.04), (0.09), (0.11), -   , -   
EPS, 0.33 , 0.08 , 0.49 , 0.18 , 2.18 , (0.33), (0.19), 0.03 , (0.03), (0.06), (0.08), -   , -   
Price to earning, 15.82 , 89.16 , 21.83 , 40.76 , 3.10 ,  , (18.96), 131.66 , (129.01), (38.73), -   , 131.66 , -   
Price, 5.19 , 6.85 , 10.67 , 7.40 , 6.74 , -   , 3.57 , 4.60 , 3.60 , 2.43 , 1.33 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,,0.00%,0.00%
,,,,,,OPM,,,,,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 50.39 , 58.51 , 131.66 , 131.66 , -   , 131.66 , -   
