HUBTOWN LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 399.56 , 441.03 , 287.94 , 264.86 , 449.72 , 477.64 , 412.30 , 362.99 , 603.53 , 341.56 , 468.67 , 468.67 , 313.06 
Expenses, 61.71 , 152.63 , 165.17 , 102.24 , 155.35 , 187.81 , 113.69 , 69.74 , 253.26 , 265.28 , 469.15 , 210.77 , 313.06 
Operating Profit, 337.85 , 288.40 , 122.77 , 162.62 , 294.37 , 289.83 , 298.61 , 293.25 , 350.27 , 76.28 , (0.48), 257.90 , -   
Other Income, 68.54 , 73.01 , 272.91 , 164.51 , 89.24 , 39.25 , 45.65 , 34.38 , 31.17 , 263.65 , 140.20 , -   , -   
Depreciation, 4.05 , 3.11 , 4.84 , 7.03 , 5.73 , 5.57 , 4.03 , 3.01 , 2.84 , 2.74 , 2.74 , 2.74 , 2.74 
Interest, 108.72 , 119.68 , 248.62 , 298.64 , 350.16 , 304.65 , 322.59 , 300.47 , 366.25 , 312.77 , 171.36 , 171.36 , 171.36 
Profit before tax, 293.62 , 238.62 , 155.87 , 23.24 , 27.72 , 18.85 , 17.63 , 24.15 , 12.35 , 24.43 , (34.38), 83.80 , (174.10)
Tax, 29.84 , 64.82 , (15.61), (16.61), (2.94), (16.58), 6.88 , (2.65), 5.81 , (2.12), (15.03),0%,0%
Net profit, 263.78 , 173.80 , 171.48 , 39.85 , 30.66 , 35.44 , 10.75 , 26.80 , 6.54 , 26.54 , (19.35), 83.80 , (174.10)
EPS, 39.55 , 23.89 , 23.58 , 5.48 , 4.22 , 4.87 , 1.48 , 3.68 , 0.90 , 3.65 , (2.66), 11.52 , (23.93)
Price to earning, 12.19 , 21.99 , 9.67 , 33.42 , 32.16 , 27.42 , 66.82 , 28.54 , 128.32 , 20.26 , -   , 59.04 , -   
Price, 482.20 , 525.48 , 228.01 , 183.11 , 135.54 , 133.58 , 98.76 , 105.18 , 115.37 , 73.94 , 29.70 , 680.14 , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,2.53%,20.93%,10.60%,18.24%,23.71%,20.51%,0.00%,0.00%,0.00%,0.00%,,,
OPM,84.56%,65.39%,42.64%,61.40%,65.46%,60.68%,72.43%,80.79%,58.04%,22.33%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-1.73%,2.47%,-5.35%,-6.08%,37.21%,37.21%,-6.08%
,,,,,,OPM,62.22%,60.61%,59.52%,55.03%,0.00%,55.03%,0.00%
,,,,,,Price to Earning, 38.08 , 48.13 , 54.27 , 59.04 , -   , 59.04 , -   
