IDFC LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital," 1,295.28 "," 1,300.61 "," 1,460.95 "," 1,512.36 "," 1,514.73 "," 1,516.29 "," 1,592.78 "," 1,594.02 "," 1,595.94 "," 1,596.35 "
Reserves," 4,733.87 "," 5,522.24 "," 8,765.05 "," 10,627.61 "," 11,942.58 "," 13,192.66 "," 15,336.74 "," 7,994.71 "," 8,054.35 "," 8,164.25 "
Borrowings," 23,533.03 "," 26,522.88 "," 36,297.27 "," 46,428.78 "," 53,630.06 "," 55,671.62 "," 66,251.53 ", -   , 199.70 , -   
Other Liabilities, 815.25 ," 1,014.77 "," 2,499.23 "," 2,163.89 "," 2,935.62 "," 3,413.15 "," 3,398.40 ", 31.06 , 28.47 , 24.45 
Total," 30,377.43 "," 34,360.50 "," 49,022.50 "," 60,732.64 "," 70,022.99 "," 73,793.72 "," 86,579.45 "," 9,619.79 "," 9,878.46 "," 9,785.05 "
,,,,,,,,,,
Net Block, 386.52 , 357.82 , 341.97 , 314.19 , 291.66 , 277.67 , 359.15 , 65.73 , 61.85 , 56.77 
Capital Work in Progress, 4.00 , 4.63 , 0.64 , 0.16 , -   , 0.90 , 13.69 , -   , -   , -   
Investments," 7,578.39 "," 5,782.69 "," 8,107.42 "," 8,485.71 "," 11,272.40 "," 11,198.88 "," 30,486.89 "," 9,229.18 "," 9,383.44 "," 9,694.43 "
Other Assets," 22,408.52 "," 28,215.36 "," 40,572.47 "," 51,932.58 "," 58,458.93 "," 62,316.27 "," 55,719.72 ", 324.88 , 433.17 , 33.85 
Total," 30,377.43 "," 34,360.50 "," 49,022.50 "," 60,732.64 "," 70,022.99 "," 73,793.72 "," 86,579.45 "," 9,619.79 "," 9,878.46 "," 9,785.05 "
,,,,,,,,,,
Working Capital," 21,593.27 "," 27,200.59 "," 38,073.24 "," 49,768.69 "," 55,523.31 "," 58,903.12 "," 52,321.32 ", 293.82 , 404.70 , 9.40 
Debtors, 12.32 , 45.93 , 11.09 , 371.46 , 50.76 , 643.10 , 26.08 , 0.13 , 0.16 , 1.12 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, 1.35 , 4.68 , 0.89 , 21.93 , 2.38 , 28.56 , 95.61 , 0.21 , 0.37 , 2.01 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,12%,15%,12%,13%,13%,12%,10%,-12%,1%,2%
Return on Capital Emp,,10%,10%,11%,11%,11%,2%,-2%,1%,2%
,,,,,,,,,,
