INDIAN OVERSEAS BANK,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 243.11 ," (1,210.19)", (27.08)," 3,692.89 ", (606.88)," 3,278.03 "," 5,940.90 "," (3,091.00)", (504.95)," (1,793.28)"
Cash from Investing Activity, (90.07), (132.05), (99.10), (225.27), (401.31), (226.60), (164.29), (253.56), (134.86), (115.06)
Cash from Financing Activity, 427.54 , 244.98 ," 2,320.20 ", 774.82 , 5.51 , 698.93 , 113.15 , 692.24 ," 1,616.60 "," 5,230.29 "
Net Cash Flow, 580.58 ," (1,097.26)"," 2,194.02 "," 4,242.44 "," (1,002.68)"," 3,750.36 "," 5,889.77 "," (2,652.31)", 976.80 ," 3,321.96 "
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
