INDIAN OVERSEAS BANK,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 9,641.40 "," 10,245.77 "," 12,101.47 "," 17,889.11 "," 20,676.73 "," 22,683.73 "," 23,938.33 "," 23,517.29 "," 19,718.60 "," 17,915.21 "," 17,631.26 "," 17,631.26 "," 16,291.54 "
Expenses," 2,527.42 "," 3,139.85 "," 3,654.76 "," 5,288.45 "," 6,350.78 "," 6,761.80 "," 7,262.12 "," 11,442.58 "," 11,728.29 "," 17,573.25 "," 15,445.98 "," 11,747.46 "," 14,272.31 "
Operating Profit," 7,113.98 "," 7,105.92 "," 8,446.71 "," 12,600.66 "," 14,325.95 "," 15,921.93 "," 16,676.21 "," 12,074.71 "," 7,990.31 ", 341.96 ," 2,185.28 "," 5,883.80 "," 2,019.23 "
Other Income," 1,713.07 "," 1,062.70 "," 1,143.95 "," 1,681.04 "," 1,972.90 "," 2,169.34 "," 2,138.60 "," 2,528.26 "," 3,372.64 "," 3,746.44 "," 4,206.31 ", -   , -   
Depreciation, 100.94 , 111.76 , 105.00 , 111.05 , 126.59 , 141.32 , 149.00 , 196.48 , 214.86 , 272.47 , -   , -   , -   
Interest," 6,771.81 "," 7,077.91 "," 7,893.44 "," 12,872.94 "," 15,424.78 "," 17,106.92 "," 18,554.38 "," 18,134.60 "," 14,529.02 "," 12,447.64 "," 12,352.13 "," 12,352.13 "," 12,352.13 "
Profit before tax," 1,954.30 ", 978.95 ," 1,592.22 "," 1,297.71 ", 747.48 , 843.04 , 111.44 ," (3,728.11)"," (3,380.92)"," (8,631.70)"," (5,960.54)"," (6,468.33)"," (10,332.90)"
Tax, 628.51 , 271.99 , 519.68 , 247.58 , 180.25 , 241.30 , 565.76 , (830.78), 35.81 ," (2,332.21)"," (2,222.66)",0%,0%
Net profit," 1,325.79 ", 706.96 ," 1,072.54 "," 1,050.13 ", 567.23 , 601.74 , (454.33)," (2,897.33)"," (3,416.74)"," (6,299.49)"," (3,737.88)"," (6,468.33)"," (10,332.90)"
EPS, 24.34 , 12.98 , 17.33 , 13.18 , 6.14 , 4.87 , (3.68), (16.03), (13.92), (12.88), (4.09), (7.08), (11.30)
Price to earning, 2.46 , 7.44 , 8.81 , 7.06 , 10.68 , 10.92 , (11.94), (1.93), (2.00), (1.39), -   , -   , -   
Price, 59.78 , 96.54 , 152.75 , 93.03 , 65.54 , 53.22 , 43.90 , 30.98 , 27.89 , 17.93 , 11.95 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,18.49%,26.97%,28.85%,34.15%,32.58%,24.64%,0.00%,0.00%,0.00%,0.00%,,,
OPM,73.79%,69.35%,69.80%,70.44%,69.29%,70.19%,69.66%,51.34%,40.52%,1.91%,12.39%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,7.13%,5.76%,-2.83%,-9.21%,-1.58%,-1.58%,-9.21%
,,,,,,OPM,57.53%,54.62%,49.18%,33.37%,12.39%,33.37%,12.39%
,,,,,,Price to Earning, 7.90 , 9.55 , 10.92 ,  , -   , -   , -   
