ICICI LOMBARD GENERAL INSURANCE COMPANY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 1,973.65 "," 2,192.82 "," 2,856.17 "," 3,549.00 "," 4,012.30 "," 4,352.25 "," 4,234.05 "," 4,826.34 "," 6,163.60 "," 6,911.73 "," 9,747.24 "," 9,747.24 "," 8,031.76 "
Expenses," 2,380.71 "," 2,491.34 "," 3,337.49 "," 4,393.79 "," 4,192.89 "," 4,577.79 "," 4,455.71 "," 5,270.68 "," 6,567.89 "," 6,857.26 "," 8,647.53 "," 8,647.53 "," 8,021.11 "
Operating Profit, (407.06), (298.52), (481.32), (844.79), (180.59), (225.54), (221.66), (444.34), (404.29), 54.47 ," 1,099.71 "," 1,099.71 ", 10.65 
Other Income, 441.72 , 491.99 , 458.46 , 501.38 , 588.65 , 817.39 , 992.54 ," 1,220.17 "," 1,357.12 "," 1,568.65 ", 498.70 , -   , -   
Depreciation, 26.44 , 27.71 , 49.66 , 44.58 , 48.79 , 49.69 , 53.66 , 56.53 , -   , -   , -   , -   , -   
Interest, 7.95 , 7.45 , 9.82 , 7.23 , 7.90 , 8.72 , 12.49 , 14.50 , 42.73 , 426.89 , -   , -   , -   
Profit before tax, 0.27 , 158.31 , (82.34), (395.22), 351.37 , 533.44 , 704.73 , 704.80 , 910.10 ," 1,196.23 "," 1,598.41 "," 1,099.71 ", 10.65 
Tax, (23.35), 14.38 , (2.00), 21.11 , (1.41), 13.37 , 119.41 , 199.46 , 208.22 , 334.46 , 549.15 ,34%,34%
Net profit, 23.62 , 143.93 , (80.34), (416.33), 352.78 , 520.07 , 585.32 , 505.34 , 701.88 , 861.78 ," 1,049.26 ", 721.89 , 6.99 
EPS, 0.59 , 3.57 , (1.99), (9.54), 8.07 , 11.69 , 13.11 , 11.29 , 15.56 , 18.98 , 23.09 , 15.89 , 0.15 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 40.69 , 48.39 , 48.39 , 44.54 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 772.46 ," 1,117.40 ", 768.77 , 6.85 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,44.87%,0.00%,0.00%,0.00%,0.00%,15.26%,26.57%,22.50%,21.07%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.79%,11.28%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,14.94%,13.46%,11.49%,17.75%,41.02%,41.02%,11.49%
,,,,,,OPM,0.13%,0.16%,0.21%,0.30%,11.28%,11.28%,0.13%
,,,,,,Price to Earning, 44.54 , 44.54 , 44.54 , 44.54 , 48.39 , 48.39 , 44.54 
