ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   ," 1,428.85 "," 1,428.94 "," 1,429.26 "," 1,431.72 "," 1,432.32 "," 1,435.35 "," 1,435.50 "
Reserves, -   , -   , -   ," 1,552.67 "," 2,531.76 "," 2,955.28 "," 3,832.49 "," 3,641.50 "," 4,972.69 "," 5,448.95 "
Borrowings, -   , -   , -   , -   , -   , -   , -   ," 1,028.94 ", -   , -   
Other Liabilities, -   , -   , -   ," 68,641.44 "," 71,259.52 "," 77,089.96 "," 95,951.58 "," 98,663.49 "," 1,18,334.48 "," 1,34,936.83 "
Total, -   , -   , -   ," 71,622.96 "," 75,220.22 "," 81,474.50 "," 1,01,215.79 "," 1,04,766.25 "," 1,24,742.52 "," 1,41,821.28 "
,,,,,,,,,,
Net Block, -   , -   , -   , 175.86 , 165.25 , 196.90 , 209.04 , 212.04 , 206.54 , 404.48 
Capital Work in Progress, -   , -   , -   , 4.38 , 7.00 , 4.64 , 5.96 , 7.49 , 7.23 , 17.58 
Investments, -   , -   , -   ," 12,580.19 "," 16,195.80 "," 19,791.45 "," 24,714.72 "," 1,03,027.08 "," 1,21,585.97 "," 1,38,540.11 "
Other Assets, -   , -   , -   ," 58,862.53 "," 58,852.17 "," 61,481.51 "," 76,286.07 "," 1,519.64 "," 2,942.78 "," 2,859.11 "
Total, -   , -   , -   ," 71,622.96 "," 75,220.22 "," 81,474.50 "," 1,01,215.79 "," 1,04,766.25 "," 1,24,742.52 "," 1,41,821.28 "
,,,,,,,,,,
Working Capital, -   , -   , -   ," (9,778.91)"," (12,407.35)"," (15,608.45)"," (19,665.51)"," (97,143.85)"," (1,15,391.70)"," (1,32,077.72)"
Debtors, -   , -   , -   , -   , -   , -   , -   , 150.86 , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , 2.64 , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,46%,38%,36%,31%,33%,26%,24%
Return on Capital Emp,,,,99%,46%,38%,34%,32%,30%,28%
,,,,,,,,,,
