ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   ," 14,020.43 "," 20,023.26 "," 21,885.65 "," 34,450.64 "," 20,847.13 "," 37,813.81 "," 38,829.94 "," 41,434.55 "," 41,434.55 "," 40,516.09 "
Expenses, -   , -   , -   ," 13,116.91 "," 19,277.90 "," 20,380.28 "," 32,795.14 "," 19,005.15 "," 36,007.06 "," 37,058.35 "," 40,794.38 "," 39,130.86 "," 39,890.11 "
Operating Profit, -   , -   , -   , 903.52 , 745.36 ," 1,505.37 "," 1,655.50 "," 1,841.98 "," 1,806.75 "," 1,771.59 ", 640.17 ," 2,303.69 ", 625.98 
Other Income, -   , -   , -   , 626.75 , 900.45 , 128.93 , 42.56 , -   , 130.18 , 131.88 , 635.98 , -   , -   
Depreciation, -   , -   , -   , 55.58 , 40.96 , 46.82 , 39.60 , 0.01 , 57.83 , 43.68 , -   , -   , -   
Interest, -   , -   , -   , 15.80 , 13.60 , 14.77 , 16.84 , 0.06 , 15.26 , 20.15 , -   , -   , -   
Profit before tax, -   , -   , -   ," 1,458.89 "," 1,591.25 "," 1,572.71 "," 1,641.62 "," 1,841.92 "," 1,863.84 "," 1,839.64 "," 1,276.15 "," 2,303.69 ", 625.98 
Tax, -   , -   , -   , 73.16 , 75.73 , 10.27 , 1.40 , 191.45 , 181.61 , 219.81 , 135.50 ,11%,11%
Net profit, -   , -   , -   ," 1,385.73 "," 1,515.52 "," 1,562.44 "," 1,640.22 "," 1,650.46 "," 1,682.23 "," 1,619.83 "," 1,140.65 "," 2,059.08 ", 559.51 
EPS, -   , -   , -   , 9.70 , 10.61 , 10.93 , 11.46 , 11.52 , 11.72 , 11.28 , 7.94 , 14.34 , 3.90 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  , 34.08 , 35.42 , 48.62 , 48.62 , 39.38 
Price, -   , -   , -   , -   , -   , -   , -   , -   , 399.46 , 399.74 , 386.25 , 697.25 , 153.44 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,29.90%,31.95%,69.97%,51.02%,72.90%,62.71%,59.38%,,,
OPM,0.00%,0.00%,0.00%,6.44%,3.72%,6.88%,4.81%,8.84%,4.78%,4.56%,1.55%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,14.16%,4.07%,6.71%,6.71%,4.07%
,,,,,,OPM,5.45%,5.45%,5.58%,5.56%,1.55%,5.56%,1.55%
,,,,,,Price to Earning, 39.38 , 39.38 , 39.38 , 39.38 , 48.62 , 48.62 , 39.38 
