ICRA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 10.00 , 10.00 , 10.00 , 10.00 , 10.00 , 10.00 , 10.00 , 10.00 , 9.90 , 9.90 
Reserves, 169.41 , 199.60 , 232.34 , 272.92 , 312.37 , 345.65 , 366.99 , 398.36 , 491.94 , 560.95 
Borrowings, -   , -   , 0.39 , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, 73.52 , 93.51 , 67.45 , 73.22 , 83.66 , 91.29 , 118.30 , 125.70 , 99.23 , 95.80 
Total, 252.93 , 303.11 , 310.18 , 356.14 , 406.03 , 446.94 , 495.29 , 534.06 , 601.07 , 666.65 
,,,,,,,,,,
Net Block, 17.68 , 17.68 , 16.89 , 16.01 , 16.04 , 16.82 , 16.69 , 15.49 , 12.99 , 12.14 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, 64.40 , 111.79 , 229.96 , 278.14 , 321.29 , 371.99 , 343.59 , 271.03 , 337.20 , 365.09 
Other Assets, 170.85 , 173.64 , 63.33 , 61.99 , 68.70 , 58.13 , 135.01 , 247.54 , 250.88 , 289.42 
Total, 252.93 , 303.11 , 310.18 , 356.14 , 406.03 , 446.94 , 495.29 , 534.06 , 601.07 , 666.65 
,,,,,,,,,,
Working Capital, 97.33 , 80.13 , (4.12), (11.23), (14.96), (33.16), 16.71 , 121.84 , 151.65 , 193.62 
Debtors, 17.02 , 17.26 , 12.67 , 16.09 , 12.01 , 11.71 , 21.61 , 16.49 , 18.56 , 21.73 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, 70.01 , 59.34 , 35.77 , 42.14 , 29.50 , 26.24 , 43.52 , 30.81 , 32.12 , 35.71 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,20%,24%,19%,18%,19%,17%,13%,15%,20%,18%
Return on Capital Emp,,38%,30%,29%,24%,24%,21%,24%,29%,27%
,,,,,,,,,,
