ICSA (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Jun-13,Jun-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 9.39 , 9.46 , 9.55 , 9.63 , 9.63 , 9.63 , 9.63 , 9.63 , 9.63 , 9.63 
Reserves, 587.69 , 702.12 , 826.48 , 665.68 , (157.80), (784.23)," (1,127.31)"," (1,148.11)"," (1,156.88)"," (1,298.47)"
Borrowings, 391.61 , 613.97 , 831.45 ," 1,033.07 "," 1,125.80 "," 1,148.08 "," 1,157.05 "," 1,165.73 "," 1,177.95 "," 1,168.96 "
Other Liabilities, 156.49 , 300.43 , 457.76 , 409.27 , 696.49 , 397.65 , 357.26 , 341.38 , 340.86 , 339.35 
Total," 1,145.18 "," 1,625.98 "," 2,125.24 "," 2,117.65 "," 1,674.12 ", 771.13 , 396.63 , 368.63 , 371.56 , 219.47 
,,,,,,,,,,
Net Block, 173.66 , 189.74 , 174.53 , 155.54 , 129.79 , 118.20 , 106.56 , 95.69 , 85.18 , 61.15 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, 2.61 , 2.02 , 2.02 , 2.02 , 2.00 , -   , -   , -   , -   , -   
Other Assets, 968.91 ," 1,434.22 "," 1,948.69 "," 1,960.09 "," 1,542.33 ", 652.93 , 290.07 , 272.94 , 286.38 , 158.32 
Total," 1,145.18 "," 1,625.98 "," 2,125.24 "," 2,117.65 "," 1,674.12 ", 771.13 , 396.63 , 368.63 , 371.56 , 219.47 
,,,,,,,,,,
Working Capital, 812.42 ," 1,133.79 "," 1,490.93 "," 1,550.82 ", 845.84 , 255.28 , (67.19), (68.44), (54.48), (181.03)
Debtors, 509.53 , 535.46 , 623.99 , 790.28 , 955.81 , 393.38 , 151.62 , 151.64 , 166.94 , 93.42 
Inventory, 42.68 , 203.27 , 487.38 , 481.50 , 217.58 , 99.10 , 49.67 , 49.14 , 49.14 , 0.56 
,,,,,,,,,,
Debtor Days, 168.79 , 159.61 , 166.79 , 319.67 , 837.81 ," 2,506.70 "," 2,350.95 "," 12,137.85 ", -   , -   
Inventory Turnover, 25.82 , 6.02 , 2.80 , 1.87 , 1.91 , 0.58 , 0.47 , 0.09 , -   , -   
,,,,,,,,,,
Return on Equity,26%,17%,15%,-26%,,,,,,
Return on Capital Emp,,20%,19%,-4%,-51%,-91%,-166%,-62%,-30%,
,,,,,,,,,,
