IDFC FIRST BANK LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , -   ," (13,033.62)"," 14,246.53 "," (5,946.64)"
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , -   ," 7,171.08 "," (5,074.42)"," (1,007.62)"
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , 0.05 ," 7,474.91 "," (6,974.02)"," 6,744.07 "
Net Cash Flow, -   , -   , -   , -   , -   , -   , 0.05 ," 1,612.38 "," 2,198.09 ", (210.20)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
