IFB AGRO INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 8.01 , 8.01 , 8.01 , 8.01 , 9.01 , 9.37 , 9.37 , 9.37 , 9.37 , 9.37 
Reserves, 56.40 , 60.83 , 78.65 , 105.20 , 148.56 , 196.68 , 212.26 , 241.58 , 293.99 , 334.96 
Borrowings, 12.34 , 31.41 , 2.09 , 0.19 , -   , 4.21 , -   , 49.63 , 43.25 , 31.26 
Other Liabilities, 40.93 , 46.49 , 49.44 , 51.84 , 29.76 , 47.15 , 56.42 , 69.20 , 77.27 , 86.60 
Total, 117.68 , 146.74 , 138.19 , 165.24 , 187.33 , 257.41 , 278.05 , 369.78 , 423.88 , 462.19 
,,,,,,,,,,
Net Block, 71.05 , 66.77 , 70.69 , 77.59 , 71.85 , 96.94 , 118.03 , 144.64 , 140.56 , 134.98 
Capital Work in Progress, 1.18 , 0.98 , 0.34 , 0.72 , 1.92 , 21.35 , 0.55 , 0.20 , 1.66 , 6.40 
Investments, 2.96 , 2.96 , 2.96 , 2.96 , 2.96 , 7.96 , 2.96 , 90.88 , 145.64 , 134.56 
Other Assets, 42.49 , 76.03 , 64.20 , 83.97 , 110.60 , 131.16 , 156.51 , 134.06 , 136.02 , 186.25 
Total, 117.68 , 146.74 , 138.19 , 165.24 , 187.33 , 257.41 , 278.05 , 369.78 , 423.88 , 462.19 
,,,,,,,,,,
Working Capital, 1.56 , 29.54 , 14.76 , 32.13 , 80.84 , 84.01 , 100.09 , 64.86 , 58.75 , 99.65 
Debtors, 10.03 , 10.04 , 10.87 , 19.89 , 6.54 , 9.24 , 26.79 , 38.68 , 42.07 , 62.92 
Inventory, 18.76 , 28.55 , 27.13 , 37.38 , 30.79 , 24.48 , 44.09 , 44.00 , 43.03 , 65.18 
,,,,,,,,,,
Debtor Days, 13.26 , 13.52 , 8.82 , 12.42 , 5.16 , 6.65 , 16.74 , 22.72 , 18.28 , 25.83 
Inventory Turnover, 14.72 , 9.49 , 16.59 , 15.64 , 15.02 , 20.71 , 13.25 , 14.12 , 19.52 , 13.64 
,,,,,,,,,,
Return on Equity,20%,6%,21%,23%,17%,20%,7%,12%,11%,9%
Return on Capital Emp,,9%,30%,38%,29%,33%,12%,14%,13%,13%
,,,,,,,,,,
