IFCI LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 617.69 , 520.74 , 548.57 , (32.76), (582.71), 131.07 , 264.62 , (64.47), 384.67 , (443.61)
Cash from Investing Activity," (1,862.34)"," (1,996.13)", 27.15 , (11.34), (48.30), (6.63), 28.37 , 94.90 , 19.83 , 25.72 
Cash from Financing Activity," (1,729.07)"," 1,030.33 ", (86.39), (85.15), 838.02 , (194.23), (398.77), (304.68), 0.59 , 60.92 
Net Cash Flow," (2,973.72)", (445.06), 489.33 , (129.25), 207.01 , (69.79), (105.78), (274.25), 405.09 , (356.97)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
