IFGL REFRACTORIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , -   , 2.16 , 2.92 , 36.04 
Reserves, -   , -   , -   , -   , -   , -   , -   , 23.96 , 438.86 , 453.09 
Borrowings, -   , -   , -   , -   , -   , -   , -   , 23.44 , 71.11 , 89.99 
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , 8.81 , 113.51 , 102.02 
Total, -   , -   , -   , -   , -   , -   , -   , 58.37 , 626.40 , 681.14 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , 31.10 , 304.46 , 276.52 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , 0.37 , 0.85 , 2.73 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , 68.67 , 69.48 
Other Assets, -   , -   , -   , -   , -   , -   , -   , 26.90 , 252.42 , 332.41 
Total, -   , -   , -   , -   , -   , -   , -   , 58.37 , 626.40 , 681.14 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   , 18.09 , 138.91 , 230.39 
Debtors, -   , -   , -   , -   , -   , -   , -   , 18.93 , 154.90 , 206.96 
Inventory, -   , -   , -   , -   , -   , -   , -   , 4.54 , 44.29 , 50.49 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , 148.49 , 152.04 , 170.41 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , 10.25 , 8.40 , 8.78 
,,,,,,,,,,
Return on Equity,,,,,,,,25%,4%,5%
Return on Capital Emp,,,,,,,,33%,6%,7%
,,,,,,,,,,
