IIFL HOLDINGS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 512.95 , 5.12 , 235.97 , 429.33 , 50.86 , (380.57), 124.65 , 98.62 , 86.66 , 46.92 
Cash from Investing Activity, (17.96), (265.62), 89.29 , (71.86), (66.89), 338.58 , (112.26), (40.64), 52.47 , 183.21 
Cash from Financing Activity, (279.11), 392.09 , (260.31), (526.44), (87.74), (84.30), 28.34 , (96.15), (133.51), (217.04)
Net Cash Flow, 215.88 , 131.59 , 64.95 , (168.97), (103.77), (126.29), 40.74 , (38.17), 5.61 , 13.09 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
