IL&FS INVESTMENT MANAGERS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 36.25 , 40.61 , 16.21 , 40.25 , 38.55 , 35.06 , 87.11 , 56.82 , 14.07 , 6.32 
Cash from Investing Activity, (25.75), (13.56), 15.74 , (9.90), (5.38), 2.84 , (42.97), (0.71), 19.22 , 7.27 
Cash from Financing Activity, (16.92), (25.87), (33.25), (31.95), (35.27), (35.72), (44.92), (44.89), (39.99), (19.53)
Net Cash Flow, (6.42), 1.18 , (1.30), (1.60), (2.10), 2.18 , (0.78), 11.22 , (6.70), (5.94)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
