IMP POWERS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 9.43 , 16.97 , 15.92 , 9.40 , 19.48 , 20.55 , 32.85 , 24.08 , 31.76 , 30.96 
Cash from Investing Activity, (20.47), (6.12), (4.74), (6.18), (10.71), (5.66), (1.46), (5.02), (7.53), (5.18)
Cash from Financing Activity, 7.44 , (9.78), (12.91), (2.21), (5.63), (13.81), (28.96), (17.94), (23.47), (25.16)
Net Cash Flow, (3.60), 1.07 , (1.73), 1.01 , 3.14 , 1.08 , 2.43 , 1.12 , 0.77 , 0.63 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
