IGARASHI MOTORS INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 13.87 , 13.87 , 20.37 , 20.39 , 20.42 , 30.45 , 30.61 , 30.61 , 30.61 , 30.61 
Reserves, 8.78 , 11.51 , 63.01 , 80.82 , 102.32 , 188.82 , 220.34 , 263.81 , 334.56 , 380.46 
Borrowings, 101.12 , 70.27 , 60.58 , 84.03 , 77.83 , 51.48 , 57.51 , 44.13 , 21.91 , 26.21 
Other Liabilities, 55.76 , 60.69 , 61.02 , 63.05 , 70.28 , 89.04 , 132.80 , 132.68 , 117.07 , 104.25 
Total, 179.53 , 156.34 , 204.98 , 248.29 , 270.85 , 359.79 , 441.26 , 471.23 , 504.15 , 541.53 
,,,,,,,,,,
Net Block, 84.97 , 81.88 , 85.59 , 106.48 , 122.00 , 125.68 , 121.06 , 137.79 , 157.94 , 180.82 
Capital Work in Progress, 5.92 , 3.81 , 1.10 , 6.44 , 3.06 , 1.14 , 1.21 , 11.72 , 2.57 , 42.19 
Investments, 12.43 , 14.33 , 28.62 , 28.62 , 28.62 , 21.19 , 26.13 , 33.70 , 174.08 , 50.31 
Other Assets, 76.21 , 56.32 , 89.67 , 106.75 , 117.17 , 211.78 , 292.86 , 288.02 , 169.56 , 268.21 
Total, 179.53 , 156.34 , 204.98 , 248.29 , 270.85 , 359.79 , 441.26 , 471.23 , 504.15 , 541.53 
,,,,,,,,,,
Working Capital, 20.45 , (4.37), 28.65 , 43.70 , 46.89 , 122.74 , 160.06 , 155.34 , 52.49 , 163.96 
Debtors, 32.32 , 22.71 , 30.06 , 56.78 , 61.86 , 69.64 , 78.52 , 85.93 , 103.24 , 103.19 
Inventory, 15.91 , 13.65 , 18.23 , 16.37 , 22.18 , 24.65 , 33.06 , 34.24 , 44.35 , 36.84 
,,,,,,,,,,
Debtor Days, 45.76 , 52.23 , 55.76 , 77.18 , 77.65 , 70.37 , 74.43 , 70.49 , 72.97 , 82.16 
Inventory Turnover, 16.20 , 11.63 , 10.79 , 16.40 , 13.11 , 14.65 , 11.65 , 13.00 , 11.64 , 12.44 
,,,,,,,,,,
Return on Equity,-266%,11%,9%,16%,17%,21%,20%,22%,21%,16%
Return on Capital Emp,,12%,16%,20%,22%,30%,27%,32%,32%,25%
,,,,,,,,,,
