INDBANK MERCHANT BANKING SERVICES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 1.36 , (6.87), (2.34), (0.46), (0.37), 7.90 , 0.84 , 4.34 , 5.55 , 4.65 
Cash from Investing Activity, 6.41 , 11.41 , 1.76 , (1.85), (1.00), (4.58), (4.31), (4.56), (6.47), (2.94)
Cash from Financing Activity, (7.79), (3.89), -   , -   , -   , -   , -   , -   , -   , (0.80)
Net Cash Flow, (0.02), 0.65 , (0.58), (2.31), (1.37), 3.32 , (3.47), (0.22), (0.92), 0.90 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
