INDIABULLS REAL ESTATE LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 45.03 , 33.99 , 159.10 , 142.06 , 354.86 , 84.90 , 35.50 , 17.38 , 27.20 , 82.36 , 117.08 , 249.38 , 52.70 
Expenses, 33.99 , 51.87 , 48.60 , 72.06 , 109.30 , 60.48 , 31.25 , 46.87 , 43.86 , 37.50 , 73.45 , 156.45 , 37.03 
Operating Profit, 11.04 , (17.88), 110.50 , 70.00 , 245.56 , 24.42 , 4.25 , (29.49), (16.66), 44.86 , 43.63 , 92.93 , 15.67 
Other Income, 94.73 , 99.45 , 14.63 , 80.25 , 233.80 , 302.70 , 283.19 , 408.49 , 398.33 , 300.86 , 437.65 , -   , -   
Depreciation, 2.55 , 2.91 , 3.03 , 3.19 , 3.33 , 3.21 , 4.66 , 2.94 , 1.34 , 0.98 , 0.84 , 0.84 , 0.84 
Interest, 79.83 , 53.10 , 54.24 , 126.30 , 134.71 , 166.65 , 273.65 , 303.78 , 363.43 , 360.89 , 330.42 , 330.42 , 330.42 
Profit before tax, 23.39 , 25.56 , 67.86 , 20.76 , 341.33 , 157.25 , 9.13 , 72.28 , 16.91 , (16.17), 150.02 , (238.33), (315.59)
Tax, 6.83 , 3.12 , 22.05 , 6.30 , 72.76 , 12.70 , (13.92), 6.73 , (0.44), 3.59 , 44.02 ,29%,29%
Net profit, 16.56 , 22.44 , 45.81 , 14.45 , 268.56 , 144.55 , 23.06 , 65.55 , 17.35 , (19.75), 106.01 , (168.40), (222.99)
EPS, 0.64 , 0.56 , 1.14 , 0.30 , 6.33 , 3.41 , 0.54 , 1.42 , 0.36 , (0.42), 2.35 , (3.74), (4.95)
Price to earning, 186.42 , 271.32 , 113.31 , 211.80 , 9.52 , 18.00 , 118.94 , 39.97 , 334.59 , (460.95), 53.99 , 142.85 , 53.99 
Price, 119.88 , 151.63 , 129.04 , 64.55 , 60.29 , 61.36 , 64.54 , 56.75 , 121.34 , 191.79 , 127.00 , (533.75), (267.14)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,26.35%,0.00%,31.58%,88.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,24.52%,0.00%,69.45%,49.27%,69.20%,28.76%,11.97%,0.00%,0.00%,54.47%,37.27%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,6.94%,-8.98%,-25.33%,32.38%,202.79%,202.79%,-25.33%
,,,,,,OPM,51.98%,52.28%,29.73%,35.34%,37.27%,37.27%,29.73%
,,,,,,Price to Earning, 135.78 , 112.40 , 113.10 , 142.85 , 53.99 , 142.85 , 53.99 
