INDIA POWER CORPORATION LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 4.23 , 4.23 , 4.23 , 97.38 , 97.38 , 97.38 , 97.38 , 97.38 , 97.38 , 97.38 
Reserves, 87.15 , 100.88 , 106.06 , 29.30 , 818.59 , 846.74 , 872.88 , 922.45 ," 1,022.49 "," 1,043.81 "
Borrowings, 36.63 , 26.57 , 115.01 , 155.45 , 237.53 , 391.90 , 538.48 , 853.21 , 588.52 , 645.06 
Other Liabilities, 119.67 , 134.88 , 176.26 , 231.17 , 365.47 , 383.15 , 374.84 , 390.11 , 385.31 , 390.78 
Total, 247.68 , 266.56 , 401.56 , 513.30 ," 1,518.97 "," 1,719.17 "," 1,883.58 "," 2,263.15 "," 2,093.70 "," 2,177.03 "
,,,,,,,,,,
Net Block, 111.03 , 111.10 , 117.95 , 153.99 , 304.67 , 307.65 , 384.92 , 367.28 , 343.14 , 341.18 
Capital Work in Progress, 4.62 , 6.12 , 4.40 , 102.56 , 15.85 , 51.09 , 17.67 , 9.19 , 15.07 , 38.18 
Investments, 4.74 , 4.09 , 5.05 , 6.10 , 6.52 , 207.83 , 317.65 , 604.96 , 322.49 , 116.03 
Other Assets, 127.29 , 145.25 , 274.16 , 250.65 ," 1,191.93 "," 1,152.60 "," 1,163.34 "," 1,281.72 "," 1,413.00 "," 1,681.64 "
Total, 247.68 , 266.56 , 401.56 , 513.30 ," 1,518.97 "," 1,719.17 "," 1,883.58 "," 2,263.15 "," 2,093.70 "," 2,177.03 "
,,,,,,,,,,
Working Capital, 7.62 , 10.37 , 97.90 , 19.48 , 826.46 , 769.45 , 788.50 , 891.61 ," 1,027.69 "," 1,290.86 "
Debtors, 107.14 , 118.41 , 59.59 , 60.66 , 71.22 , 90.74 , 77.85 , 92.49 , 59.52 , 55.85 
Inventory, 9.16 , 9.14 , 12.72 , 10.92 , 18.93 , 14.90 , 17.98 , 13.33 , 9.79 , 9.36 
,,,,,,,,,,
Debtor Days, 103.15 , 105.29 , 53.50 , 40.89 , 40.00 , 47.69 , 45.29 , 60.03 , 48.25 , 42.37 
Inventory Turnover, 41.39 , 44.91 , 31.96 , 49.58 , 34.33 , 46.61 , 34.89 , 42.19 , 45.99 , 51.40 
,,,,,,,,,,
Return on Equity,8%,14%,5%,9%,3%,3%,2%,3%,3%,2%
Return on Capital Emp,,14%,8%,11%,9%,6%,6%,5%,7%,6%
,,,,,,,,,,
