INDIAN HOTELS CO LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 293.06 , 450.62 , 466.39 , 448.62 , 332.02 , 367.86 , 400.55 , 469.35 , 458.32 , 481.12 
Cash from Investing Activity," (1,105.74)", (649.90), (762.07), (468.09), (233.81), (180.62), (418.96), 311.30 , (95.52)," (1,388.15)"
Cash from Financing Activity," 1,183.84 ", 622.96 , (61.16), (47.93), (86.27), (183.79), 261.96 ," (1,042.97)", (368.92)," 1,012.79 "
Net Cash Flow, 371.16 , 423.68 , (356.84), (67.40), 11.94 , 3.45 , 243.55 , (262.32), (6.12), 105.76 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
