INDIAN HUME PIPE COMPANY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 4.84 , 4.84 , 4.84 , 4.84 , 4.84 , 4.84 , 4.84 , 4.84 , 9.69 , 9.69 
Reserves, 160.07 , 182.97 , 205.31 , 215.61 , 232.22 , 249.47 , 282.04 , 301.81 , 390.42 , 443.40 
Borrowings, 188.65 , 205.97 , 183.67 , 148.51 , 176.37 , 247.55 , 305.51 , 317.85 , 268.41 , 341.90 
Other Liabilities, 158.68 , 250.54 , 281.39 , 315.81 , 319.98 , 383.51 , 417.91 , 442.02 , 607.98 , 748.08 
Total, 512.24 , 644.32 , 675.21 , 684.77 , 733.41 , 885.37 ," 1,010.30 "," 1,066.52 "," 1,276.50 "," 1,543.07 "
,,,,,,,,,,
Net Block, 56.08 , 64.10 , 72.11 , 69.11 , 79.83 , 83.89 , 74.72 , 73.11 , 77.79 , 76.95 
Capital Work in Progress, 0.64 , 1.19 , 0.09 , 4.75 , 0.77 , 0.94 , 0.35 , 2.59 , 0.96 , 2.22 
Investments, 2.52 , 17.49 , 1.41 , 1.52 , 1.78 , 1.63 , 0.96 , 0.29 , 2.51 , 2.14 
Other Assets, 453.00 , 561.54 , 601.60 , 609.39 , 651.03 , 798.91 , 934.27 , 990.53 ," 1,195.24 "," 1,461.76 "
Total, 512.24 , 644.32 , 675.21 , 684.77 , 733.41 , 885.37 ," 1,010.30 "," 1,066.52 "," 1,276.50 "," 1,543.07 "
,,,,,,,,,,
Working Capital, 294.32 , 311.00 , 320.21 , 293.58 , 331.05 , 415.40 , 516.36 , 548.51 , 587.26 , 713.68 
Debtors, 27.00 , 17.75 , 102.24 , 138.64 , 193.50 , 228.31 , 335.21 , 335.45 , 400.71 , 474.90 
Inventory, 317.87 , 428.04 , 328.15 , 292.04 , 297.51 , 355.08 , 375.55 , 436.27 , 59.97 , 47.29 
,,,,,,,,,,
Debtor Days, 17.84 , 11.56 , 57.54 , 97.85 , 101.51 , 101.74 , 121.16 , 130.40 , 81.62 , 112.07 
Inventory Turnover, 1.74 , 1.31 , 1.98 , 1.77 , 2.34 , 2.31 , 2.69 , 2.15 , 29.88 , 32.71 
,,,,,,,,,,
Return on Equity,15%,15%,13%,7%,10%,9%,14%,9%,25%,15%
Return on Capital Emp,,20%,16%,12%,15%,16%,20%,15%,31%,20%
,,,,,,,,,,
