INDO COUNT INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 33.07 , 33.32 , 35.48 , 35.48 , 35.48 , 35.48 , 39.48 , 39.48 , 39.48 , 39.48 
Reserves, 153.05 , 135.81 , 134.91 , 124.02 , 139.99 , 232.04 , 360.86 , 574.40 , 787.07 , 899.39 
Borrowings, 337.98 , 349.43 , 367.33 , 353.87 , 410.90 , 404.10 , 330.15 , 339.85 , 266.95 , 370.62 
Other Liabilities, 71.80 , 184.62 , 160.69 , 178.88 , 261.96 , 304.55 , 424.19 , 330.70 , 348.57 , 336.74 
Total, 595.90 , 703.18 , 698.41 , 692.25 , 848.33 , 976.17 ," 1,154.68 "," 1,284.43 "," 1,442.07 "," 1,646.23 "
,,,,,,,,,,
Net Block, 402.21 , 388.97 , 360.99 , 337.05 , 332.33 , 317.55 , 360.32 , 455.37 , 499.18 , 511.41 
Capital Work in Progress, 1.08 , 0.63 , 2.05 , 4.86 , 1.77 , 0.33 , 14.44 , 10.65 , 12.08 , 23.55 
Investments, 18.73 , 18.09 , 18.11 , 19.54 , 19.47 , 18.80 , 18.80 , 18.80 , 19.61 , 19.80 
Other Assets, 173.88 , 295.49 , 317.26 , 330.80 , 494.76 , 639.49 , 761.12 , 799.61 , 911.20 ," 1,091.47 "
Total, 595.90 , 703.18 , 698.41 , 692.25 , 848.33 , 976.17 ," 1,154.68 "," 1,284.43 "," 1,442.07 "," 1,646.23 "
,,,,,,,,,,
Working Capital, 102.08 , 110.87 , 156.57 , 151.92 , 232.80 , 334.94 , 336.93 , 468.91 , 562.63 , 754.73 
Debtors, 21.29 , 50.03 , 52.61 , 68.08 , 127.61 , 166.92 , 208.04 , 326.59 , 366.55 , 324.98 
Inventory, 43.65 , 80.76 , 124.55 , 128.99 , 196.00 , 257.12 , 264.13 , 287.88 , 357.79 , 524.42 
,,,,,,,,,,
Debtor Days, 29.38 , 50.44 , 28.89 , 33.16 , 40.88 , 43.20 , 47.00 , 59.57 , 67.25 , 69.40 
Inventory Turnover, 6.06 , 4.48 , 5.34 , 5.81 , 5.81 , 5.49 , 6.12 , 6.95 , 5.56 , 3.26 
,,,,,,,,,,
Return on Equity,-28%,-11%,5%,0%,15%,39%,35%,39%,28%,14%
Return on Capital Emp,,0%,9%,7%,15%,26%,37%,49%,38%,20%
,,,,,,,,,,
