INDO THAI SECURITIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 2.00 , 2.00 , 6.00 , 10.00 , 10.00 , 10.00 , 10.00 , 10.00 , 10.00 , 10.00 
Reserves, 2.88 , 4.83 , 1.90 , 25.96 , 26.00 , 26.68 , 27.82 , 33.15 , 34.95 , 43.90 
Borrowings, 1.66 , 1.72 , 1.51 , 0.08 , 3.22 , 2.62 , 4.16 , -   , -   , 5.19 
Other Liabilities, 5.17 , 5.05 , 4.67 , 2.85 , 2.87 , 7.16 , 8.60 , 3.80 , 9.79 , 14.66 
Total, 11.71 , 13.60 , 14.08 , 38.89 , 42.09 , 46.46 , 50.58 , 46.95 , 54.74 , 73.75 
,,,,,,,,,,
Net Block, 2.34 , 2.30 , 2.19 , 2.30 , 2.91 , 2.87 , 2.72 , 5.71 , 3.32 , 3.10 
Capital Work in Progress, -   , -   , -   , -   , -   , 0.45 , 1.84 , -   , -   , -   
Investments, 0.64 , 0.81 , 0.78 , 13.23 , 8.99 , 14.58 , 16.18 , 12.09 , 14.02 , 15.50 
Other Assets, 8.73 , 10.49 , 11.11 , 23.36 , 30.19 , 28.56 , 29.84 , 29.15 , 37.40 , 55.15 
Total, 11.71 , 13.60 , 14.08 , 38.89 , 42.09 , 46.46 , 50.58 , 46.95 , 54.74 , 73.75 
,,,,,,,,,,
Working Capital, 3.56 , 5.44 , 6.44 , 20.51 , 27.32 , 21.40 , 21.24 , 25.35 , 27.61 , 40.49 
Debtors, 1.75 , 1.63 , 2.00 , 2.00 , 4.47 , 4.41 , 10.06 , 10.97 , 12.42 , 22.01 
Inventory, 0.03 , 0.02 , 0.08 , 0.20 , 0.04 , 2.09 , 4.09 , 1.84 , 4.08 , 3.56 
,,,,,,,,,,
Debtor Days, 245.67 , 118.52 , 144.27 , 122.48 , 163.48 , 76.36 , 101.35 , 81.17 , 100.25 , 139.13 
Inventory Turnover, 86.67 , 251.00 , 63.25 , 29.80 , 249.50 , 10.09 , 8.86 , 26.81 , 11.08 , 16.22 
,,,,,,,,,,
Return on Equity,11%,29%,14%,1%,0%,2%,6%,15%,7%,17%
Return on Capital Emp,,34%,24%,2%,1%,4%,8%,16%,7%,24%
,,,,,,,,,,
