INDO THAI SECURITIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 2.60 , 5.02 , 5.06 , 5.96 , 9.98 , 21.08 , 36.23 , 49.33 , 45.22 , 57.74 , 42.45 , 73.73 , 64.87 
Expenses, 1.87 , 2.37 , 2.79 , 5.15 , 9.55 , 19.56 , 32.98 , 42.07 , 45.87 , 44.69 , 43.32 , 63.89 , 64.87 
Operating Profit, 0.73 , 2.65 , 2.27 , 0.81 , 0.43 , 1.52 , 3.25 , 7.26 , (0.65), 13.05 , (0.87), 9.83 , -   
Other Income, 0.04 , 0.04 , 0.04 , (0.15), 0.03 , 0.02 , -   , -   , 4.56 , 0.02 , 4.98 , -   , -   
Depreciation, 0.17 , 0.15 , 0.13 , 0.11 , 0.13 , 0.13 , 0.19 , 0.56 , 0.83 , 0.65 , 0.53 , 0.53 , 0.53 
Interest, -   , -   , 0.55 , 0.22 , 0.30 , 0.47 , 0.31 , 0.17 , 0.17 , 0.86 , 1.05 , 1.05 , 1.05 
Profit before tax, 0.60 , 2.54 , 1.63 , 0.33 , 0.04 , 0.93 , 2.74 , 6.52 , 2.90 , 11.56 , 2.53 , 8.25 , (1.58)
Tax, 0.06 , 0.59 , 0.56 , 0.12 , 0.01 , 0.25 , 0.34 , (0.02), (0.10), 2.61 , 0.24 ,9%,9%
Net profit, 0.54 , 1.95 , 1.07 , 0.20 , 0.03 , 0.69 , 2.41 , 6.54 , 3.00 , 8.94 , 2.29 , 7.47 , (1.43)
EPS, 2.70 , 9.75 , 1.78 , 0.20 , 0.03 , 0.69 , 2.41 , 6.54 , 3.00 , 8.94 , 2.29 , 7.47 , (1.43)
Price to earning,  ,  ,  , 52.73 , 362.31 , 17.73 , 6.70 , 3.68 , 7.57 , 8.38 , 13.47 , 13.47 , 8.27 
Price, -   , -   , -   , 10.55 , 10.87 , 12.23 , 16.15 , 24.04 , 22.71 , 74.90 , 30.85 , 100.63 , (11.83)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,41.49%,15.29%,33.33%,11.19%,,,
OPM,28.08%,52.79%,44.86%,13.59%,4.31%,7.21%,8.97%,14.72%,0.00%,22.60%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,41.13%,41.59%,42.06%,16.81%,27.69%,27.69%,16.81%
,,,,,,OPM,13.42%,11.67%,11.97%,13.34%,0.00%,13.34%,0.00%
,,,,,,Price to Earning, 59.07 , 59.07 , 9.59 , 8.27 , 13.47 , 13.47 , 8.27 
