INDRAPRASTHA MEDICAL CORPORATION LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 391.18 , 424.43 , 435.47 , 521.70 , 606.72 , 677.58 , 714.46 , 755.45 , 765.72 , 748.36 , 788.17 , 788.17 , 760.63 
Expenses, 344.22 , 365.31 , 392.12 , 454.90 , 528.17 , 586.56 , 629.57 , 675.11 , 686.37 , 674.96 , 707.42 , 707.22 , 682.70 
Operating Profit, 46.96 , 59.12 , 43.35 , 66.80 , 78.55 , 91.02 , 84.89 , 80.34 , 79.35 , 73.40 , 80.75 , 80.95 , 77.93 
Other Income, 14.70 , 10.57 , 27.87 , 0.90 , 1.43 , 0.83 , 0.94 , 1.15 , (0.09), 0.21 , 0.48 , -   , -   
Depreciation, 18.67 , 19.29 , 21.60 , 21.83 , 25.89 , 28.14 , 28.18 , 35.33 , 30.53 , 30.68 , 29.76 , 29.76 , 29.76 
Interest, 5.74 , 3.85 , 4.36 , 5.86 , 8.62 , 9.55 , 8.11 , 7.42 , 7.91 , 8.90 , 6.86 , 6.86 , 6.86 
Profit before tax, 37.25 , 46.55 , 45.26 , 40.01 , 45.48 , 54.16 , 49.54 , 38.74 , 40.82 , 34.01 , 44.61 , 44.33 , 41.31 
Tax, 13.36 , 15.49 , 14.54 , 13.01 , 16.72 , 18.72 , 17.06 , 14.32 , 14.57 , 12.90 , 16.21 ,36%,36%
Net profit, 23.89 , 31.06 , 30.72 , 27.00 , 28.76 , 35.44 , 32.49 , 24.43 , 26.25 , 21.10 , 28.42 , 28.22 , 26.30 
EPS, 2.61 , 3.39 , 3.35 , 2.95 , 3.14 , 3.87 , 3.54 , 2.66 , 2.86 , 2.30 , 3.10 , 3.08 , 2.87 
Price to earning, 11.26 , 14.42 , 10.85 , 11.93 , 10.78 , 10.19 , 16.25 , 20.83 , 20.07 , 21.63 , 12.81 , 18.83 , 12.81 
Price, 29.33 , 48.85 , 36.37 , 35.13 , 33.83 , 39.39 , 57.59 , 55.51 , 57.47 , 49.79 , 39.70 , 57.98 , 36.74 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,57.56%,47.23%,47.75%,54.33%,51.01%,46.56%,50.78%,67.54%,62.86%,65.17%,,,
OPM,12.00%,13.93%,9.95%,12.80%,12.95%,13.43%,11.88%,10.63%,10.36%,9.81%,10.25%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,7.47%,8.04%,4.29%,1.56%,5.32%,5.32%,1.56%
,,,,,,OPM,11.65%,11.57%,11.17%,10.27%,10.25%,10.27%,10.25%
,,,,,,Price to Earning, 14.64 , 15.56 , 16.96 , 18.83 , 12.81 , 18.83 , 12.81 
