INGERSOLL-RAND (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 31.57 , 31.57 , 31.57 , 31.57 , 31.57 , 31.57 , 31.57 , 31.57 , 31.57 , 31.57 
Reserves, 715.82 , 741.10 , 787.67 , 782.38 , 838.24 , 883.04 , 925.65 , 976.09 ," 1,029.99 "," 1,096.91 "
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, 120.08 , 131.15 , 143.61 , 132.70 , 150.67 , 181.13 , 177.19 , 153.17 , 152.07 , 163.76 
Total, 867.47 , 903.82 , 962.85 , 946.65 ," 1,020.48 "," 1,095.74 "," 1,134.41 "," 1,160.83 "," 1,213.63 "," 1,292.24 "
,,,,,,,,,,
Net Block, 22.24 , 23.87 , 25.26 , 44.20 , 49.97 , 108.54 , 109.31 , 77.55 , 126.15 , 121.28 
Capital Work in Progress, 0.11 , 0.04 , 0.10 , 1.17 , 52.06 , 7.78 , 45.64 , 35.00 , 1.90 , 0.68 
Investments, 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, 845.11 , 879.91 , 937.49 , 901.28 , 918.45 , 979.42 , 979.46 ," 1,048.28 "," 1,085.58 "," 1,170.28 "
Total, 867.47 , 903.82 , 962.85 , 946.65 ," 1,020.48 "," 1,095.74 "," 1,134.41 "," 1,160.83 "," 1,213.63 "," 1,292.24 "
,,,,,,,,,,
Working Capital, 725.03 , 748.76 , 793.88 , 768.58 , 767.78 , 798.29 , 802.27 , 895.11 , 933.51 ," 1,006.52 "
Debtors, 118.98 , 100.41 , 99.28 , 133.19 , 140.24 , 174.29 , 178.40 , 136.33 , 97.74 , 110.05 
Inventory, 64.60 , 78.77 , 109.14 , 108.53 , 91.44 , 135.25 , 112.44 , 95.20 , 87.38 , 77.79 
,,,,,,,,,,
Debtor Days, 116.15 , 103.40 , 73.54 , 82.12 , 87.41 , 121.26 , 99.33 , 80.11 , 57.50 , 65.34 
Inventory Turnover, 5.79 , 4.50 , 4.51 , 5.45 , 6.40 , 3.88 , 5.83 , 6.52 , 7.10 , 7.90 
,,,,,,,,,,
Return on Equity,9%,6%,8%,10%,9%,7%,7%,6%,7%,8%
Return on Capital Emp,,10%,13%,15%,13%,11%,11%,8%,11%,12%
,,,,,,,,,,
