INSECTICIDES INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 239.48 , 346.83 , 404.95 , 478.54 , 565.80 , 800.81 , 892.21 , 906.04 , 994.21 ," 1,073.25 "," 1,161.95 "," 1,161.95 "," 1,147.05 "
Expenses, 212.87 , 311.36 , 361.25 , 422.09 , 496.48 , 718.92 , 781.00 , 814.69 , 880.28 , 925.20 , 986.55 , 986.55 ," 1,013.90 "
Operating Profit, 26.61 , 35.47 , 43.70 , 56.45 , 69.32 , 81.89 , 111.21 , 91.35 , 113.93 , 148.05 , 175.40 , 175.40 , 133.15 
Other Income, 1.42 , 1.04 , 0.07 , (0.05), 0.21 , 0.29 , 0.21 , 0.29 , 4.27 , 3.01 , 1.69 , -   , -   
Depreciation, 1.12 , 1.20 , 1.53 , 2.36 , 5.76 , 6.66 , 14.17 , 15.93 , 16.00 , 17.05 , 19.50 , 19.50 , 19.50 
Interest, 2.82 , 2.52 , 0.99 , 11.14 , 17.35 , 26.91 , 33.16 , 25.88 , 20.23 , 15.92 , 11.71 , 11.71 , 11.71 
Profit before tax, 24.15 , 32.82 , 41.27 , 42.94 , 46.40 , 48.65 , 64.16 , 49.88 , 81.97 , 118.09 , 145.88 , 144.19 , 101.94 
Tax, 3.36 , 4.60 , 9.05 , 9.93 , 11.08 , 8.71 , 9.32 , 10.60 , 22.57 , 34.12 , 44.34 ,30%,30%
Net profit, 20.79 , 28.22 , 32.22 , 33.01 , 35.32 , 39.94 , 54.84 , 39.29 , 59.40 , 83.97 , 101.54 , 100.36 , 70.96 
EPS, 16.39 , 22.25 , 25.40 , 26.03 , 27.85 , 31.49 , 43.24 , 19.01 , 28.74 , 40.63 , 49.13 , 48.56 , 34.33 
Price to earning, 1.56 , 3.87 , 7.90 , 10.46 , 9.84 , 5.44 , 12.34 , 20.14 , 20.02 , 18.02 , 14.19 , 18.09 , 11.25 
Price, 25.59 , 86.20 , 200.58 , 272.12 , 273.94 , 171.27 , 533.71 , 382.78 , 575.27 , 732.05 , 697.35 , 878.50 , 386.28 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,12.22%,9.00%,9.84%,9.60%,10.76%,9.51%,0.00%,10.51%,6.95%,4.92%,,,
OPM,11.11%,10.23%,10.79%,11.80%,12.25%,10.23%,12.46%,10.08%,11.46%,13.79%,15.10%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,18.14%,14.94%,13.66%,6.35%,8.26%,8.26%,6.35%
,,,,,,OPM,11.61%,11.77%,11.71%,11.88%,15.10%,15.10%,11.61%
,,,,,,Price to Earning, 11.25 , 13.80 , 15.02 , 18.09 , 14.19 , 18.09 , 11.25 
