INTELLECT DESIGN ARENA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , 0.05 , 50.10 , 50.39 , 50.87 , 62.76 
Reserves, -   , -   , -   , -   , -   , -   , 471.47 , 506.91 , 473.76 , 683.91 
Borrowings, -   , -   , -   , -   , -   , -   , -   , 15.10 , 228.18 , 159.37 
Other Liabilities, -   , -   , -   , -   , -   , 0.01 , 179.48 , 205.80 , 181.62 , 244.86 
Total, -   , -   , -   , -   , -   , 0.06 , 701.05 , 778.20 , 934.43 ," 1,150.90 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , 103.41 , 146.82 , 165.36 , 200.11 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , 44.80 , 41.38 , 71.46 , 97.36 
Investments, -   , -   , -   , -   , -   , -   , 293.79 , 206.91 , 191.11 , 197.69 
Other Assets, -   , -   , -   , -   , -   , 0.06 , 259.05 , 383.09 , 506.50 , 655.74 
Total, -   , -   , -   , -   , -   , 0.06 , 701.05 , 778.20 , 934.43 ," 1,150.90 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , 0.05 , 79.57 , 177.29 , 324.88 , 410.88 
Debtors, -   , -   , -   , -   , -   , -   , 95.85 , 165.41 , 166.57 , 257.72 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , 77.21 , 110.55 , 117.60 , 140.09 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,,0%,-14%,5%,-11%,4%
Return on Capital Emp,,,,,,0%,-28%,3%,-7%,6%
,,,,,,,,,,
