INTELLECT DESIGN ARENA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , 453.10 , 546.11 , 516.98 , 671.48 , 931.26 , 931.26 , 801.96 
Expenses, -   , -   , -   , -   , -   , -   , 531.79 , 528.38 , 570.54 , 626.67 , 803.62 , 803.62 , 779.03 
Operating Profit, -   , -   , -   , -   , -   , -   , (78.69), 17.73 , (53.56), 44.81 , 127.64 , 127.64 , 22.93 
Other Income, -   , -   , -   , -   , -   , -   , 22.04 , 17.47 , 31.46 , 31.34 , 61.51 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , 17.06 , 19.05 , 22.61 , 25.14 , 34.94 , 34.94 , 34.94 
Interest, -   , -   , -   , -   , -   , -   , 0.08 , 0.58 , 11.43 , 15.96 , 11.41 , 11.41 , 11.41 
Profit before tax, -   , -   , -   , -   , -   , -   , (73.79), 15.57 , (56.15), 35.05 , 142.80 , 81.29 , (23.42)
Tax, -   , -   , -   , -   , -   , -   , (2.61), (10.75), -   , 2.20 , 5.72 ,4%,4%
Net profit, -   , -   , -   , -   , -   , -   , (71.18), 26.32 , (56.15), 32.85 , 137.08 , 78.03 , (22.49)
EPS, -   , -   , -   , -   , -   , -   , (7.10), 2.61 , (5.52), 2.62 , 10.40 , 5.92 , (1.71)
Price to earning,  ,  ,  ,  ,  ,  , (16.00), 83.64 , (20.84), 68.33 , 24.23 , 58.73 , 24.23 
Price, -   , -   , -   , -   , -   , -   , 113.66 , 218.45 , 115.02 , 178.80 , 251.85 , 347.58 , (41.31)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.25%,0.00%,6.67%,13.71%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,14.01%,38.69%,38.69%,14.01%
,,,,,,OPM,2.86%,2.86%,2.86%,3.61%,13.71%,13.71%,2.86%
,,,,,,Price to Earning, 58.73 , 58.73 , 58.73 , 58.73 , 24.23 , 58.73 , 24.23 
