INTRASOFT TECHNOLOGIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 1.32 , 11.03 , 14.73 , 14.73 , 14.73 , 14.73 , 14.73 , 14.73 , 14.73 , 14.73 
Reserves, 19.90 , 36.11 , 84.39 , 93.61 , 79.97 , 62.19 , 63.17 , 99.36 , 104.03 , 101.70 
Borrowings, 1.07 , 4.35 , 6.61 , 0.35 , 1.09 , 3.05 , 4.04 , 3.49 , -   , -   
Other Liabilities, 23.36 , 452.41 , 4.02 , 34.60 , 32.76 , 25.62 , 6.20 , 9.77 , 7.89 , 8.20 
Total, 45.65 , 503.90 , 109.75 , 143.29 , 128.55 , 105.59 , 88.14 , 127.35 , 126.65 , 124.63 
,,,,,,,,,,
Net Block, 4.69 , 6.18 , 15.59 , 45.60 , 39.14 , 18.25 , 17.50 , 18.36 , 17.99 , 16.74 
Capital Work in Progress, 10.42 , 12.53 , 16.47 , 20.92 , 26.35 , 26.83 , 26.35 , 0.04 , -   , -   
Investments, 2.07 , 2.07 , 49.34 , 44.82 , 42.67 , 32.10 , 11.93 , 67.19 , 82.46 , 82.58 
Other Assets, 28.47 , 483.12 , 28.35 , 31.95 , 20.39 , 28.41 , 32.36 , 41.76 , 26.20 , 25.31 
Total, 45.65 , 503.90 , 109.75 , 143.29 , 128.55 , 105.59 , 88.14 , 127.35 , 126.65 , 124.63 
,,,,,,,,,,
Working Capital, 5.11 , 30.71 , 24.33 , (2.65), (12.37), 2.79 , 26.16 , 31.99 , 18.31 , 17.11 
Debtors, 3.22 , 5.43 , 1.40 , 5.86 , 0.49 , 5.65 , 9.85 , 11.82 , 1.59 , 1.03 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, 137.30 , 120.70 , 26.42 , 100.00 , 11.16 , 111.05 , 115.79 , 151.75 , 48.40 , 39.41 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,25%,19%,10%,10%,3%,3%,6%,35%,3%,1%
Return on Capital Emp,,25%,16%,15%,1%,-2%,8%,43%,4%,1%
,,,,,,,,,,
